dump_name,breach_date,record_count,source
collection-1,2019-01-24,2147483647,BreachDirectory
collection-4-eu,2019-03-13,2147483519,BreachDirectory
collection-4-u,2019-04-03,2010963743,BreachDirectory
qq.com,2021-11-30,1468584193,BreachDirectory
tencent.com,2023-05-09,1468566171,BreachDirectory
verifications.io,2020-01-20,1000563312,BreachDirectory
collection-4-g,2019-04-17,867837990,BreachDirectory
exploit.in,2017-07-09,805561994,BreachDirectory
pemiblanc.com,2018-08-28,652748394,BreachDirectory
antipublic-combo,2017-05-31,562175314,BreachDirectory
weibo.com,2017-06-07,508513746,BreachDirectory
socradar.io,2024-08-14,434872552,BreachDirectory
peopledatalabs,2020-12-16,416726546,BreachDirectory
myspace.com,2017-02-20,360212437,BreachDirectory
intelx.io-whois,2024-10-07,316849053,BreachDirectory
cit0day.in,2020-11-13,296503532,BreachDirectory
truecaller.com,2019-10-28,286252303,BreachDirectory
twitter.com,2017-02-20,281238587,BreachDirectory
wattpad.com,2020-10-29,271169522,BreachDirectory
netease.com,2017-05-30,260586242,BreachDirectory
deezer.com,2023-01-09,257829348,BreachDirectory
linkedin.com,2017-02-20,250778227,BreachDirectory
onlinerspambot,2019-01-09,245369191,BreachDirectory
acxiom.com,2022-02-15,242485734,BreachDirectory
zeeroq.com,2022-08-02,231057900,BreachDirectory
adultfriendfinder.com,2017-03-29,222417821,BreachDirectory
zynga.com,2020-01-07,216646654,BreachDirectory
luxottica.com,2023-08-23,205951328,BreachDirectory
phpinfo.me,2020-03-21,183350786,BreachDirectory
evite.com,2020-08-05,178694963,BreachDirectory
special,2017-12-13,173507946,BreachDirectory
zing.vn,2018-09-07,163669579,BreachDirectory
dubsmash.com,2019-08-23,161577888,BreachDirectory
raychat.io,2021-10-14,157722378,BreachDirectory
adobe.com,2017-02-20,152946574,BreachDirectory
myfitnesspal.com,2019-10-31,150669098,BreachDirectory
npa-nxx,2017-10-13,143090683,BreachDirectory
canva.com,2023-06-19,142773536,BreachDirectory
jd.com,2021-06-21,141647897,BreachDirectory
pureincubation.com,2024-12-09,132728321,BreachDirectory
badoo.com,2017-03-24,127380528,BreachDirectory
comelec.gov.ph,2018-12-04,123336630,BreachDirectory
mindjolt.com,2019-11-27,117078155,BreachDirectory
naz.api,2024-01-24,115888889,BreachDirectory
vk.com,2017-02-20,100562172,BreachDirectory
youku.com,2017-06-06,100259848,BreachDirectory
mgmresorts.com,2020-03-13,92599475,BreachDirectory
myheritage.com,2020-01-17,92284467,BreachDirectory
rambler.ru,2017-04-03,91436481,BreachDirectory
tokopedia.com,2020-05-09,91174171,BreachDirectory
mobiledrip.com,2022-09-01,88434595,BreachDirectory
apollo.io,2020-09-15,86100102,BreachDirectory
dailymotion.com,2017-08-28,85542647,BreachDirectory
gonitro.com,2021-04-20,77173015,BreachDirectory
edmodo.com,2017-05-24,77041063,BreachDirectory
aitype.com,2018-03-14,75425691,BreachDirectory
tumblr.com,2017-02-20,73386913,BreachDirectory
zoosk.com,2017-03-29,72141031,BreachDirectory
att.com,2024-03-20,70205934,BreachDirectory
neopets.com,2017-02-20,68757345,BreachDirectory
dropbox.com,2017-02-20,68680753,BreachDirectory
sf-express.com,2022-10-27,65990109,BreachDirectory
email2name,2018-03-27,64475902,BreachDirectory
gmail.com,2017-02-20,61575571,BreachDirectory
pizap.com,2020-12-23,60838054,BreachDirectory
modbsolutions.com,2017-04-03,58851905,BreachDirectory
netlog.com,2019-11-15,57020420,BreachDirectory
thepostmillennial.com,2024-05-27,56822226,BreachDirectory
flagshipcredit.com,2024-11-21,56095851,BreachDirectory
houzz.com,2020-04-24,55299286,BreachDirectory
emailcar.net,2017-06-11,52616638,BreachDirectory
pipl.com,2022-04-12,51552012,BreachDirectory
imesh.com,2017-02-20,51310960,BreachDirectory
gov.tr,2020-08-04,49612210,BreachDirectory
influentia.fr,2021-11-15,49405460,BreachDirectory
intelx.io-pastescrape,2024-10-07,46172586,BreachDirectory
actmobile.com,2021-11-15,45674640,BreachDirectory
netprospex,2024-11-22,45657646,BreachDirectory
animaljam.com,2021-05-12,45619628,BreachDirectory
last.fm,2017-02-23,43571231,BreachDirectory
us-wireless,2022-04-22,43060344,BreachDirectory
sharethis.com,2019-11-02,41041950,BreachDirectory
telegram.me,2020-06-25,40640800,BreachDirectory
younow.com,2019-10-28,40546501,BreachDirectory
wishbone.io,2020-05-29,40295279,BreachDirectory
chegg.com,2020-01-07,39826924,BreachDirectory
novaonx.com,2023-04-18,38879066,BreachDirectory
neimanmarcusgroup.com,2024-07-10,38689461,BreachDirectory
ashleymadison.com,2017-05-31,36405830,BreachDirectory
hathway.net,2024-01-24,35204515,BreachDirectory
collection-1-phone,2019-02-17,34656501,BreachDirectory
pagcor.ph,2023-05-09,34067774,BreachDirectory
melco-resorts.com,2021-09-30,34067773,BreachDirectory
jazz.com.pk,2020-07-20,34006717,BreachDirectory
livejournal.com,2020-03-12,33728450,BreachDirectory
fotolog.net,2021-04-14,33507662,BreachDirectory
twilio.com,2024-07-10,33419948,BreachDirectory
rockettext.com,2021-10-13,32151711,BreachDirectory
nationalpublicdata.com,2024-09-10,32051250,BreachDirectory
fling.com,2017-04-02,31561932,BreachDirectory
tianya.cn,2017-04-11,31250554,BreachDirectory
whitepages.com,2020-01-08,31004399,BreachDirectory
qip.ru,2017-08-23,29560611,BreachDirectory
nbki.ru,2024-05-15,29535625,BreachDirectory
shein.com,2019-11-03,29242840,BreachDirectory
malindoair.com,2021-10-12,28773264,BreachDirectory
houdao.com,2017-06-14,28634595,BreachDirectory
hautelook.com,2019-12-17,28518344,BreachDirectory
8fit.com,2019-11-04,28246706,BreachDirectory
mmgfusion.com,2021-10-14,28111297,BreachDirectory
17.media,2017-02-27,28052322,BreachDirectory
disqus.com,2018-12-06,27840339,BreachDirectory
experian.com,2017-02-20,27835945,BreachDirectory
indihome.co.id,2023-01-09,26730797,BreachDirectory
52pk.com,2019-04-05,26632723,BreachDirectory
eskimi.com,2021-04-13,26267794,BreachDirectory
mathway.com,2020-08-10,25865723,BreachDirectory
dfb.de,2017-02-20,25820306,BreachDirectory
