name,entries/usernames,entries/emails,breach_date
MyHeritage.com,0,86739843,2017-10-26
BlackHatDevil.com,0,14286,0000-00-00
Brazzers.com,0,795143,2013-04-01
Paxful.com,0,283050,0000-00-00
Wanadoo,0,137847,0000-00-00
Aternos.org,823765,896442,2015-12-06
ButterFlyLabs.com,0,18451,2015-00-00
Cfire.mail.ru,8715255,9990285,2016-08-08
MMORG.net,0,2341848,0000-00-00
MineSerwer.pl,0,11323,0000-00-00
FFShrine.org,0,491121,2015-09-18
Wallet.btc.com,0,12510,0000-00-00
MerlinsMagicBitcoins.com,0,1531,0000-00-00
AnyWhere.xxx,0,512694,0000-00-00
MythicalWorld.net,0,73697,2015-10-00
Poloniex.com,0,949697,0000-00-00
Hitfinex,0,441869,0000-00-00
Coins.numizmat.net,0,2911,0000-00-00
Parapa.mail.ru,4275787,4686350,2016-08-08
CapitalGames.com,0,430404,2015-11-00
Cafepress.com,0,10069713,2019-02-20
Cannabiscardpay.com,0,10828,2017-11-00
Dailymotion.com,899129,1182855,2016-10-20
Clubfactory.com,0,10842,0000-00-00
FrostLand,0,343199,0000-00-00
Nextgenupdate.com,995219,1040418,2014-01-00
Hmps.in,0,123578,2019-10-00
Xoffer.hk,0,37261,0000-00-00
Evgexacraft.ru,0,295606,0000-00-00
Xpgamesaves.com,0,739574,2016-01-00
Lacedrecords.co,0,52146,0000-00-00
Bondagestory.biz,0,37512,0000-00-00
MemberReportAccess.com,0,888962,0000-00-00
Gfycat.com,0,146086,0000-00-00
FoxyBingo.com,0,258097,2007-04-00
Hongfire.com,746197,830963,2015-03-01
iMesh.com,40430905,42962088,2013-09-22
Iqrashop.com,0,130211,0000-00-00
Powerbot.org,124987,427584,2014-09-01
CheatGamer.com,0,337122,0000-00-00
Avvo.com,0,1831760,0000-00-00
CashCrate.com,0,6457026,2016-11-17
Creocommunity.com,0,188684,2018-00-00
Forums.Cdprojektred.com,0,623161,0000-00-00
Dogewallet.com,0,22305,2014-01-00
StockX.com,6649299,8834477,2019-07-26
Gameshot.net,0,300062,2017-11-00
Duelingnetwork.com,5648717,6235508,2017-03-29
BlankMediaGames.com,3212007,3307652,2018-12-28
WorldPokerTour.com,0,89361,0000-00-00
Lotro.com,973602,918518,2013-08-00
Fotoboom.com,0,88498,0000-00-00
PvPWars.net,0,11825,0000-00-00
OmegaCraft.cl,0,1277,0000-00-00
EpicGames.com,84174,81674,2016-08-00
ShoppingBitcoins.com,0,2974,0000-00-00
Forums.xkcd.com,68730,269202,2019-07-01
Renren.com,0,3028497,2011-12-00
Bendercraft.ru,0,157376,0000-00-00
Elance.com,0,1253013,2009-01-01
Liancaijing.com,0,122871,0000-00-00
Hostinger,0,311577,0000-00-00
Mediafire.com,0,138534,0000-00-00
Frozencraft.ru,0,27607,2015-02-00
Forbes.com,0,266853,2014-02-15
Whitepages.com,0,2163135,2016-06-27
Stickam.com,504087,532797,2018-00-00
Playforceone.com,0,213127,0000-00-00
Coinmama.com,0,226604,2017-08-03
Xclan.org,0,11586,0000-00-00
GFAN.com,0,7291019,2016-10-10
Hautelook.com,0,13713293,2018-08-07
Mpgh.net,0,2669584,2015-10-22
PubPit.com,0,51178,0000-00-00
Kraken.com,0,14363,0000-00-00
Animoto.com,0,8619540,2018-07-10
R2Games.com,6844229,8173288,2015-11-01
Bleachanime.org,0,109612,2015-00-00
Corevin.com,0,730951,0000-00-00
Ueber18.de,0,496715,2017-01-00
EyeEm.com,346,3789821,2018-02-28
Roll20.net,0,1265528,2018-12-26
