leakname,entries,source
People Data Labs,1216656058,dataviper.io
verifications.io,763574253,dataviper.io
Collection 1,759264286,dataviper.io
Exploit.in,733936374,dataviper.io
Antipublic,561703015,dataviper.io
Oxydata.io,406994204,dataviper.io
MySpace,360713781,dataviper.io
Cloud154,326105933,dataviper.io
Exactis,298885050,dataviper.io
Unknown Facebook data (204.12.215.107),292717675,dataviper.io
Netease,277496842,dataviper.io
Unknown Facebook data (198.204.236.170),267140433,dataviper.io
LinkedIN,250758057,dataviper.io
Adult Friend Finder (2016),239998352,dataviper.io
2844 combo,236021636,dataviper.io
Zynga,218718911,dataviper.io
Zynga.com,216595855,dataviper.io
Apollo.io,210865855,dataviper.io
dubsmash.com,161548543,dataviper.io
Zumiez.com,160442823,dataviper.io
Adobe,153586361,dataviper.io
MyFitnessPal,150633047,dataviper.io
Badoo,144345556,dataviper.io
MGM Grand Hotels,142479937,dataviper.io
Facebook Scrape (140.82.63.231),141080178,dataviper.io
Canva.com,131918949,dataviper.io
Pemiblanc,131598628,dataviper.io
buddy.works spamlist,127903275,dataviper.io
MindJolt.com,117050027,dataviper.io
Special K Spamlist (Kyle's data),100558785,dataviper.io
youku,100244054,dataviper.io
VK.com,92438059,dataviper.io
MyHeritage.com,92284100,dataviper.io
Rambler.ru,91435933,dataviper.io
Dailymotion,85199406,dataviper.io
ApexSMS,79879939,dataviper.io
Yahoo.com,78155003,dataviper.io
Edmodo,77036419,dataviper.io
AiType,75623472,dataviper.io
Tumblr,73369179,dataviper.io
Neopets,68725042,dataviper.io
vietnam facebook scrape (125.212.244.27),68643384,dataviper.io
Fotolog.com,65814444,dataviper.io
rocket-text.com,63559195,dataviper.io
US Voters Database (2016),62054321,dataviper.io
Pizap.com,60888063,dataviper.io
Zoosk,59556744,dataviper.io
apb-provate-base.info,58903249,dataviper.io
ModBSolutions,58851120,dataviper.io
Netlog Twoo,56992444,dataviper.io
Data & Leads Inc,56934021,dataviper.io
Epicgames.com / Fortnite (2019),56735300,dataviper.io
Houzz,51733392,dataviper.io
poshmark,51691352,dataviper.io
iMesh,51309291,dataviper.io
LimeLeads,49803013,dataviper.io
Turkish Citizens,49711709,dataviper.io
Experian,49263584,dataviper.io
Dropbox.com,47714134,dataviper.io
clktrkd.com,47304477,dataviper.io
Youve been scraped / Netprospex,45657645,dataviper.io
FiveStars,44635047,dataviper.io
stuffandthings,43756804,dataviper.io
LastFM Dehashed,43029432,dataviper.io
Iran Telegram (46.209.20.26),42823956,dataviper.io
Shein.com,41936903,dataviper.io
ShareThis.com,41028053,dataviper.io
Fling.com,40769652,dataviper.io
romwe.com,40649264,dataviper.io
YouNow.com,40544375,dataviper.io
Twitter,39845303,dataviper.io
Chegg.com,39823697,dataviper.io
aptoide.com,39249425,dataviper.io
iMesh (Decrypted),39071211,dataviper.io
evite,36505816,dataviper.io
Evite.com,36505815,dataviper.io
Dropbox,36432402,dataviper.io
Ashley Madison,36400528,dataviper.io
id.zing.vnk,36168116,dataviper.io
Mobilink,34005093,dataviper.io
LiveJournal.com (2014),33725754,dataviper.io
LinkedIn Dehashed,33294964,dataviper.io
WhitePages.com,31004392,dataviper.io
avito.ru,29814523,dataviper.io
Qip.ru,29559520,dataviper.io
HauteLook.com,28517240,dataviper.io
Taringa.net,28299215,dataviper.io
8fit.com,28241653,dataviper.io
17 Media,28052295,dataviper.io
Disqus,27839748,dataviper.io
52pk.com,26622427,dataviper.io
mate1,26082799,dataviper.io
Animoto.com,25402283,dataviper.io
Justdate.com,24551070,dataviper.io
LuminPDF.com,24386039,dataviper.io
Zomato,23498501,dataviper.io
Storenvy.com,23480446,dataviper.io
wanelo,23188883,dataviper.io
Wanelo.com,23188845,dataviper.io
webkinz,22982319,dataviper.io
gfan,22708208,dataviper.io
cell phone base il all 2016,22543636,dataviper.io
17173.com,22537395,dataviper.io
Eyeem.com,22360278,dataviper.io
insidepro,21953953,dataviper.io
Opentable,20801059,dataviper.io
USA Business DB (2011),19716369,dataviper.io
NOT.DFB.de (July 2016),19367716,dataviper.io
CafePress,19124848,dataviper.io
8Tracks,18674242,dataviper.io
New York Voters (2018),18158506,dataviper.io
evony.com,17857472,dataviper.io
hiapk com,17275063,dataviper.io
hiapk.com 2014,17275063,dataviper.io
Ixigo.com,17241355,dataviper.io
mathway,17076935,dataviper.io
Instagram,17017213,dataviper.io
Instagram users,17017213,dataviper.io
MC-Central,16842442,dataviper.io
Singlesnet.com,16320087,dataviper.io
000WebHost.com,15271215,dataviper.io
Taobao,15072617,dataviper.io
7k7k,14928015,dataviper.io
jobstreet.com base64,14751799,dataviper.io
2018 voters Florida,13939029,dataviper.io
Thai Lion Airlines,13803637,dataviper.io
Canada Residents (2011),13334319,dataviper.io
facebook data (198.204.236.170),13174203,dataviper.io
mcresolver.pw,13080236,dataviper.io
Bukalapak.com,12957566,dataviper.io
Mamba.ru,12903522,dataviper.io
cfire.mail.ru,12889937,dataviper.io
Canada Residential 2010,12022529,dataviper.io
lsbg.net,11869836,dataviper.io
MyVestige.com,11792819,dataviper.io
dodonew.com 2011-12,11645219,dataviper.io
locatefamily.com,11625312,dataviper.io
Lifebear.com,11576902,dataviper.io
silkroad online 2012,11530393,dataviper.io
silkroad online,11529621,dataviper.io
4kmiles.com,11292210,dataviper.io
