NAME,ROWS,BREACH DATE (DD/MM/YY),HASH ALGORITHM
FrozenCraft.ru,"38,580",??/02/2015,IPB
MPGH.net,"3,119,528",??/04/2015,vB
CardingMafia.ws,"177,939",??/02/2016,vB
000webhostapp.com,"15,271,671",??/10/2015,plaintext
Edmodo.com,"77,039,864",??/05/2017,bcrypt
Neopets,"68,743,270",??/??/2013,plaintext
Daniel's Hosting Users (danwin1210.me),"7,177",26/02/2020,bcrypt
YouNow.com,"40,545,410",??/06/2017,N/A
Last.fm,"43,571,370",22/03/2012,MD5
Desteria,"909,325",??/??/????,N/A
Canva.com,"137,525,859",??/05/2019,bcrypt
OGUsers.com,"200,551",??/04/2020,MyBB
MySpace.com,"360,213,050",??/??/2008,SHA1
Dailymotion.com,"85,199,393",20/10/2016,bcrypt
Morele.net,"2,474,113",10/10/2018,MD5crypt
BlankMediaGames.com,"7,787,441",28/12/2018,phpass
DataViper.io,259,11/07/2020,bcrypt
InfragardAtlanta.org,176,??/??/2011,MD5
Cracked.to,"335,624",21/07/2019,bcrypt
LinkedIn.com,"250,758,058",05/05/2012,SHA1
Poshmark.com,"36,142,479",??/??/2018,bcrypt
CashCrate.com,"6,896,884",17/11/2016,MD5 / plaintext
GamerzPlanet.net,"1,215,132",23/10/2015,IPB / vB
millionware.vip,681,??/06/2020,bcrypt
XSplit.com,"2,992,711",??/06/2015,cracked / MD5 / SHA1
XSplit.com Forum,"1,402,649",??/06/2015,phpBB
Pixelmon.fr,"34,946",??/04/2016,MD5
BC Wars (bcwars.com),"101,659",07/03/2011,plaintext
LizardStresser.su,"12,935",??/01/2015,plaintext
AltisLifeRPG.com,"31,154",??/08/2016,N/A
Lifeboat (lbsg.net),"11,870,389",??/??/2016,MD5
Tunngle.net,"8,195,146",??/??/2016,MyBB
Nulled.ch,"43,617",20/05/2020,MyBB 1.2+
CryptoStar.asia,"22,327",??/??/2020,MD5
Miva.com,"32,801",??/05/2020,vB / bcrypt
Forum.AlphaSoftware.com,"22,105",??/05/2020,vB / argon
Forum.GAMEVIL.com,"807,251",??/05/2020,vB / bcrypt
DemonForums.net,"11,464",07/11/2016,MyBB
DemonForums.net,"52,616",20/02/2019,MyBB
Shotbow.net,"1,052,836",??/04/2016,SHA256(sha256($pass).$salt)
OGUsers.com,"112,918",26/12/2018,MyBB
