"breachdates","published_mo_yr","domain","hacker","records","sourcetype"
,"2018-01-01T06:00:00.000Z","acheipuzzles.com","Unknown",12006,"leakreport"
,"2018-01-01T06:00:00.000Z","aldeiasdoxisto.pt","YmmurcBan",3536,"leakreport"
,"2018-01-01T06:00:00.000Z","directart.co.uk","Unknown",3214,"leakreport"
,"2018-01-01T06:00:00.000Z","bestlicenseplateframes.com","Unknown",8150,"leakreport"
,"2018-01-01T06:00:00.000Z","ibn5100.net","Unknown",5086,"leakreport"
,"2018-01-01T06:00:00.000Z","yamaha-motor7.pt","Unknown",693,"leakreport"
,"2018-01-01T06:00:00.000Z","vtech.com","Anon",1291458,"leakreport"
,"2018-01-01T06:00:00.000Z","uplay.ubi.com","Unknown",330,"leakreport"
,"2018-01-01T06:00:00.000Z","nitp.ac.in","dutchm@n",174,"leakreport"
,"2018-01-01T06:00:00.000Z","presiuniv.ac.in","dutchm@n",342,"leakreport"
,"2018-01-01T06:00:00.000Z","jobstreet.com","Anon",1263230,"leakreport"
,"2018-01-01T06:00:00.000Z","inesapconcursos.com.br","Jurix123",4412,"leakreport"
,"2018-01-01T06:00:00.000Z","30wave.com","DeadArtz",1758,"leakreport"
,"2018-01-01T06:00:00.000Z","quintessence-international.fr","Unknown",4839,"leakreport"
,"2018-01-01T06:00:00.000Z","bjp.org","dutchm@n",2563,"leakreport"
,"2018-01-01T06:00:00.000Z","esguarnacpuntademata.mil.ve","P4X 31337",1971,"leakreport"
,"2018-01-01T06:00:00.000Z","yotsu.tk","Unknown",11141,"leakreport"
,"2018-01-01T06:00:00.000Z","catropaejb.com.ve","P4X 31337",2955,"leakreport"
,"2018-01-01T06:00:00.000Z","quinstreet.com","Anon",1261775,"leakreport"
,"2018-01-01T06:00:00.000Z","pfan.org.pk","dutchm@n",227,"leakreport"
,"2018-01-01T06:00:00.000Z","sohspc.co.uk","dutchm@n",749,"leakreport"
,"2018-01-01T06:00:00.000Z","constellationgamingnetwork.com","Associate",27,"leakreport"
,"2018-01-01T06:00:00.000Z","instagram.com","Ribang",113,"leakreport"
,"2018-01-01T06:00:00.000Z","werbangali.com","Unknown",231,"leakreport"
,"2018-01-01T06:00:00.000Z","yopmail.com","Unknown",279,"leakreport"
,"2018-01-01T06:00:00.000Z","abyssplongee.be","CyberChaos",931,"leakreport"
,"2018-01-01T06:00:00.000Z","dominos.com","Xblpantom",399,"leakreport"
,"2018-01-01T06:00:00.000Z","familiaforce.com","ItsGonz0_",989,"leakreport"
,"2018-01-01T06:00:00.000Z","agilebook.com.br","JIKL",18154,"leakreport"
,"2018-01-01T06:00:00.000Z","serverstress.net","Veqzy",2020,"leakreport"
,"2018-01-01T06:00:00.000Z","xplornet.ca","Unknown",2196,"leakreport"
,"2018-01-01T06:00:00.000Z","kickstarter.com","Anon",1256923,"leakreport"
,"2018-01-01T06:00:00.000Z","elosoar.com","G A M",2282,"leakreport"
,"2018-01-01T06:00:00.000Z","forgottencats.org","ItsGonz0_",1237,"leakreport"
,"2018-01-01T06:00:00.000Z","fastwebnet.it","Unknown",22267,"leakreport"
,"2018-01-01T06:00:00.000Z","pharma4.it","Unknown",575,"leakreport"
,"2018-01-01T06:00:00.000Z","inwind.it","Unknown",27162,"leakreport"
,"2018-01-01T06:00:00.000Z","truestresser.com","DarkTech",330,"leakreport"
,"2018-01-01T06:00:00.000Z","mastermason.com","D3@RM3 CiberNinja",1100,"leakreport"
,"2018-01-01T06:00:00.000Z","rayaniroo.ir","Zurael sTz",724,"leakreport"
,"2018-01-01T06:00:00.000Z","mci.gov.sa","Op7",187,"leakreport"
,"2018-01-01T06:00:00.000Z","hcnations.org","Unknown",1120,"leakreport"
,"2018-01-01T06:00:00.000Z","walla.com","Unknown",4105,"leakreport"
,"2018-01-01T06:00:00.000Z","murraybridgespeedway.com","Unknown",1423,"leakreport"
,"2018-01-01T06:00:00.000Z","uuu9.com","Anon",1256830,"leakreport"
,"2018-01-01T06:00:00.000Z","gametag.com","7crymore",102,"leakreport"
,"2018-01-01T06:00:00.000Z","wordpress.org","FlexingOnLamers",670,"leakreport"
,"2018-01-01T06:00:00.000Z","ludd.ltu.se","Unknown",242,"leakreport"
,"2018-01-01T06:00:00.000Z","lospenotes.com","Unknown",262,"leakreport"
,"2018-01-01T06:00:00.000Z","tarotgarden.com","7crymore",115,"leakreport"
,"2018-01-01T06:00:00.000Z","bankdhofar.com","1337r00t",799,"leakreport"
,"2018-01-01T06:00:00.000Z","s2.tsuyoshi2.eu","Unknown",82,"leakreport"
,"2018-01-01T06:00:00.000Z","hessedu.com","ItsGonz0_",252,"leakreport"
,"2017-12-01T06:00:00.000Z","eplanning.ie","Unknown",330,"leakreport"
,"2017-12-01T06:00:00.000Z","univ-oran.dz","SCORZ",206,"leakreport"
,"2017-12-01T06:00:00.000Z","thompsons.co.za","LuCKyHASH",286,"leakreport"
,"2017-12-01T06:00:00.000Z","javamailoke.ga","Unknown",206,"leakreport"
,"2017-12-01T06:00:00.000Z","instagram.com","Unknown",196,"leakreport"
,"2017-12-01T06:00:00.000Z","rydox.cc","C.F.O",9034,"leakreport"
,"2017-12-01T06:00:00.000Z","noos.fr","Unknown",37,"leakreport"
,"2017-12-01T06:00:00.000Z","tabukedu.gov.sa","Op7",78,"leakreport"
,"2017-12-01T06:00:00.000Z","fbco.org","ItsGonz0_",302,"leakreport"
,"2017-12-01T06:00:00.000Z","vaishworldfoundation.com","PhishTotal",133,"leakreport"
,"2017-12-01T06:00:00.000Z","atos.net","Unknown",323,"leakreport"
,"2017-12-01T06:00:00.000Z","innovationmeeting.com.br","YmmurcBan",964,"leakreport"
,"2017-12-01T06:00:00.000Z","caerd-ro.com.br","YmmurcBan",1215,"leakreport"
,"2017-12-01T06:00:00.000Z","feamig.br","YmmurcBan",8762,"leakreport"
,"2017-12-01T06:00:00.000Z","warframe.com","Anon",820193,"leakreport"
,"2017-12-01T06:00:00.000Z","sindjusdf.org.br","Diretorcosta",19801,"leakreport"
,"2017-12-01T06:00:00.000Z","5kmrun.bg","r3dm0v3",9356,"leakreport"
,"2017-12-01T06:00:00.000Z","multiprecio.com.es","CCALegion",622,"leakreport"
,"2017-12-01T06:00:00.000Z","portaldasaudebucal.com.br","YmmurcBan",914,"leakreport"
,"2017-12-01T06:00:00.000Z","panda.pt","r3dm0v3",2912,"leakreport"
,"2017-12-01T06:00:00.000Z","listadotren.es","Cyborgatas",1541,"leakreport"
,"2017-12-01T06:00:00.000Z","anacom.pt","Unknown",95,"leakreport"
,"2017-12-01T06:00:00.000Z","yandex.ua","Unknown",3430,"leakreport"
,"2017-12-01T06:00:00.000Z","photomat.eu","TheCyberSyndicate",542,"leakreport"
,"2017-12-01T06:00:00.000Z","lancssundayleague.co.uk","Nickypoo",215,"leakreport"
,"2017-12-01T06:00:00.000Z","fcc.gov","Anonymous",510,"leakreport"
,"2017-12-01T06:00:00.000Z","dancesteps.com.au","Nickypoo",231,"leakreport"
,"2017-12-01T06:00:00.000Z","kvlna.com","ItsGonz0_",8507,"leakreport"
,"2017-12-01T06:00:00.000Z","demuthmachines.com","YmmurcBan",7331,"leakreport"
,"2017-12-01T06:00:00.000Z","dpf.gov.br","Malwareversebr",404,"leakreport"
,"2017-12-01T06:00:00.000Z","lastpass.com","Unknown",609,"leakreport"
,"2017-12-01T06:00:00.000Z","safrinskincare.com","Nickypoo",523,"leakreport"
,"2017-12-01T06:00:00.000Z","ops.net.au","Nickypoo",214,"leakreport"
,"2017-12-01T06:00:00.000Z","habbstar.fr","SCORZ",374,"leakreport"
,"2017-12-01T06:00:00.000Z","auscraftnet.com.au","Nickypoo",523,"leakreport"
,"2017-12-01T06:00:00.000Z","minnesota.gov","Unknown",1176,"leakreport"
,"2017-12-01T06:00:00.000Z","brasilia.df.gov.br","Unknown",224,"leakreport"
,"2017-12-01T06:00:00.000Z","crown-golf.co.uk","LulzSecMafia",520,"leakreport"
,"2017-12-01T06:00:00.000Z","eroticy.com","Anon",1043741,"leakreport"
,"2017-12-01T06:00:00.000Z","realmadrid.am","S3N4T0R",246,"leakreport"
,"2017-12-01T06:00:00.000Z","northcotechiropractic.com","Unknown",134,"leakreport"
,"2017-12-01T06:00:00.000Z","chatterboxvoices.co.uk","Nickypoo",5065,"leakreport"
,"2017-12-01T06:00:00.000Z","flashflashrevolution.com","Anon",882948,"leakreport"
,"2017-12-01T06:00:00.000Z","unocoin.com","Unknown",1000,"leakreport"
,"2017-12-01T06:00:00.000Z","verdao.net","YmmurcBan",7404,"leakreport"
,"2017-12-01T06:00:00.000Z","paozinhodahora.com.br","Unknown",67,"leakreport"
,"2017-12-01T06:00:00.000Z","eestiinternet.ee","Margus",12123,"leakreport"
,"2017-12-01T06:00:00.000Z","csdn.net","Anon",1250935,"leakreport"
,"2017-12-01T06:00:00.000Z","aadexpo.co.za","CyberGuerilla",1042,"leakreport"
,"2017-12-01T06:00:00.000Z","magazineluiza.com.br","Unknown",255,"leakreport"
,"2017-12-01T06:00:00.000Z","unfccc.int","Anonymous Arabe",377,"leakreport"
,"2017-12-01T06:00:00.000Z","borusan.com","Unknown",1500,"leakreport"
,"2017-12-01T06:00:00.000Z","rafael.co.il","GatorLeagues",170,"leakreport"
,"2017-12-01T06:00:00.000Z","digitalsellz.com","Unknown",236,"leakreport"
,"2017-12-01T06:00:00.000Z","habbocrazy.eu","SCORZ",186,"leakreport"
,"2017-12-01T06:00:00.000Z","sortonlinecasinos.com","ItsGonz0_",425,"leakreport"
,"2017-12-01T06:00:00.000Z","fobbahotel.nl","Anon",199891,"leakreport"
,"2017-12-01T06:00:00.000Z","universityheightshighschool.org","Unknown",476,"leakreport"
,"2017-12-01T06:00:00.000Z","islamic-hacker-union.org","Unknown",575,"leakreport"
,"2017-12-01T06:00:00.000Z","serversmpt.com","Anon",625411,"leakreport"
,"2017-12-01T06:00:00.000Z","palestinetxrealestate.com","Dark_Ghost",100,"leakreport"
,"2017-12-01T06:00:00.000Z","local.rankwatch.com","Anon",1256830,"leakreport"
,"2017-12-01T06:00:00.000Z","djurvarlds.com","ItsGonz0_",211,"leakreport"
,"2017-12-01T06:00:00.000Z","amlt.coinfirm.io","Iranian Open Army",2580,"leakreport"
,"2017-12-01T06:00:00.000Z","fastdroidgen.net","Tododxghg",187,"leakreport"
,"2017-12-01T06:00:00.000Z","grammarly.com","ND03",105,"leakreport"
,"2017-12-01T06:00:00.000Z","edu.au","Anon",43811,"leakreport"
,"2017-12-01T06:00:00.000Z","era-stresser.com","SCORZ",694,"leakreport"
,"2017-12-01T06:00:00.000Z","netshoes.com.br","Dfrank",9999,"leakreport"
,"2017-12-01T06:00:00.000Z","en.cnta.gov.cn","RobertoRaimondo",526,"leakreport"
,"2017-12-01T06:00:00.000Z","kopqi.com","Unknown",109,"leakreport"
,"2017-12-01T06:00:00.000Z","rbx.exchange","Pheed",712,"leakreport"
,"2017-12-01T06:00:00.000Z","tteia.org.tw","MinionGhost",495,"leakreport"
,"2017-12-01T06:00:00.000Z","phada.org","ItsGonz0_",2884,"leakreport"
,"2017-12-01T06:00:00.000Z","aiesec.net","H4ck_L30n",1057,"leakreport"
,"2017-12-01T06:00:00.000Z","resolvethem.com","Anon",1285908,"leakreport"
,"2017-12-01T06:00:00.000Z","aalderingict.nl","Unknown",95,"leakreport"
,"2017-12-01T06:00:00.000Z","agentsone.gr","MinionGhost",238,"leakreport"
,"2017-11-01T05:00:00.000Z","ec-lyon.fr","Unknown",7414,"leakreport"
,"2017-11-01T05:00:00.000Z","pbghpa.com","SlangSec",238,"leakreport"
,"2017-11-01T05:00:00.000Z","socialclub.rockstargames.com","Unknown",638,"leakreport"
,"2017-11-01T05:00:00.000Z","arkhamnetwork.org","iLLSeCuRiTy",715,"leakreport"
,"2017-11-01T05:00:00.000Z","fnde.gov.br","VandaTheGod",249,"leakreport"
,"2017-11-01T05:00:00.000Z","ipmart-forum.com","Anon",1051437,"leakreport"
,"2017-11-01T05:00:00.000Z","daniweb.com","Anon",1126712,"leakreport"
,"2017-11-01T05:00:00.000Z","dominos.com","Lewis",111,"leakreport"
,"2017-11-01T05:00:00.000Z","montebellovillahotel.com","ItsGonz0_",1445,"leakreport"
,"2017-11-01T05:00:00.000Z","twitch.tv","Unknown",884,"leakreport"
,"2017-11-01T05:00:00.000Z","ncp.edu.pk","AG7ghost",148,"leakreport"
,"2017-11-01T05:00:00.000Z","expopakistan.gov.pk","AG7ghost",73,"leakreport"
,"2017-11-01T05:00:00.000Z","wp.pl","Unknown",10801,"leakreport"
,"2017-11-01T05:00:00.000Z","tnla.com","ItsGonz0_",306,"leakreport"
,"2017-11-01T05:00:00.000Z","staminus.net","FTA",220,"leakreport"
,"2017-11-01T05:00:00.000Z","lonestarcell.com","Anon",1088307,"leakreport"
,"2017-11-01T05:00:00.000Z","eaadhar.online","Deepakkumarnath",481,"leakreport"
,"2017-11-01T05:00:00.000Z","stampsmyanmar.com","H4x0r Abub4kk3r",77,"leakreport"
,"2017-11-01T05:00:00.000Z","yatra.in","Anon",1504490,"leakreport"
,"2017-11-01T05:00:00.000Z","kovmat.sav.sk","Unknown",5054,"leakreport"
