DateAdded,Name,Hacker,Entries,Size
Jan - 2019,"randi.org",anon,"2,202",2.7 MB
Jan - 2019,"safeskyhacks.com",anon,"9,472",910.8 KB
Jan - 2019,"webmaster.in",anon,"7,035",711.8 KB
Jan - 2019,"zum-flohmarkt.de",anon,"20,419",632.0 KB
Jan - 2019,"forum.woliera.com",anon,"6,706",409.3 KB
Jan - 2019,"onlinenutrition.com.au",anon,"3,667",342.0 KB
Jan - 2019,"korearafting.org",anon,"9,845",282.9 KB
Jan - 2019,"irg-listings.com",anon,"8,173",281.0 KB
Jan - 2019,"forensik-online.de",anon,"7,524",262.1 KB
Jan - 2019,"forensik-online.de",anon,"7,419",226.1 KB
Jan - 2019,"zoolook.nl",anon,"1,155",72.5 KB
Jan - 2019,"pichak.net",anon,647,67.1 KB
Jan - 2019,"jacksonshrub.com (v2)",anon,"1,579",54.4 KB
Jan - 2019,"jacksonshrub.com",anon,"1,579",52.8 KB
Jan - 2019,"lumbang.com",anon,553,17.8 KB
Jan - 2019,"trimonium-bg.com",anon,"1,606",51.8 KB
Jan - 2019,"Extrem Bodybuilding",anon,"51,606",6.7 MB
Jan - 2019,"limax.company",anon,"6,979",487.9 KB
Jan - 2019,"aerserv.com",anon,"64,590",4.2 MB
Jan - 2019,"Iran IMEI Server",anon,"42,840",13.3 GB
Jan - 2019,"usblab.ru",anon,"11,756",535.0 KB
Jan - 2019,"humor.co.il",anon,737,43.6 KB
Jan - 2019,"blankmediagames.com",anon,"7,556,942",613.7 MB
Jan - 2019,"coinbulb.com",anon,"555,409",18.9 MB
Jan - 2019,"Jahad Nasr International Transportation (Iran)",anon,"76,098",8.9 GB
Jan - 2019,"Russia Customs Data (Cronoplus)",anon,"203,036",14.2 GB
Jan - 2019,"German Hacks",anon,"22,625",1.2 GB
Jan - 2019,"computertricksters.com",anon,"31,932,701",2.8 GB
Jan - 2019,"Bayton.com (resumes)",anon,"22,789",2.0 GB
Jan - 2019,"Off Shore Accounts Bundle",anon,"2,614",1.6 GB
Jan - 2019,"Ukraine Customs Database",anon,115,1.2 GB
Jan - 2019,"Russia Finantial Database",anon,93,520.9 MB
Jan - 2019,"Ukraine Goverment Employees",anon,"5,609",371.3 MB
Jan - 2019,"Ukraine Citizens Database",anon,35,164.0 MB
Jan - 2019,"thecus.com",anon,"1,125",83.6 MB
Jan - 2019,"KelvinSec Pastebin Backup",anon,"69,685",13.0 MB
Jan - 2019,"runelocus.com",anon,11,6.1 MB
Jan - 2019,"blog.net32.com",anon,"7,449",1.9 MB
Jan - 2019,"ipb.org",anon,821,1.4 MB
Jan - 2019,"weare.hk",anon,"174,285",72.2 MB
Jan - 2019,"guildwars2pc.com",anon,"77,179",36.3 MB
Jan - 2019,"narutobase.net",anon,"230,672",25.1 MB
Jan - 2019,"comcast.net",anon,"558,308",16.8 MB
Jan - 2019,"canis.se",anon,"139,055",15.2 MB
Jan - 2019,"skyrimforums.org",anon,"33,346",6.9 MB
Jan - 2019,"flashacking.net",anon,"69,477",5.1 MB
Jan - 2019,"taiwanrunners.com",anon,499,2.8 MB
Jan - 2019,"drecotton.pl",anon,"19,059",2.2 MB
Jan - 2019,"cocholate.es",anon,"9,743",1.3 MB
Jan - 2019,"emanga.com",anon,"6,238",514.6 KB
Jan - 2019,"Vietnam Hospitality Agency SalesPerson",anon,"1,134",87.3 KB
Dec - 2018,"BTC Combo (2018)",anon,"18,969,084",731.1 MB
Dec - 2018,"Voters Database - Oregon & Western States CSRA CD",anon,"1,609",634.7 MB
Dec - 2018,"furries.mobi ",anon,996,331.2 KB
Dec - 2018,"Education Database - Special Needs USA (AgileDB)",anon,"3,003",393.4 KB
Dec - 2018,"raramart.com",anon,426,357.0 MB
Dec - 2018,"borntoliv.com",anon,"4,404",62.6 MB
Dec - 2018,"prosap.nu",anon,"271,205",25.7 MB
Dec - 2018,"Solenya Shopping Combo",anon,"485,096",15.6 MB
Dec - 2018,"ozon.ru",anon,"457,903",12.8 MB
Dec - 2018,"experts.omtimes.com",anon,"98,439",6.0 MB
Dec - 2018,"shangrilawaterpark.com",anon,"11,743",4.4 MB
Dec - 2018,"host2arab.com",anon,"3,978",3.0 MB
Dec - 2018,"anh.gov.co",anon,17,9.1 KB
Dec - 2018,"gujarattourism.com",anon,224,299.1 KB
Dec - 2018,"targray.com",anon,771,55.7 MB
Dec - 2018,"facepunch.com",anon,"339,285",29.1 MB
Nov - 2018,"whois.net (2018 Database)",anon,"78,968,155",77.5 GB
Nov - 2018,"300 million email database",anon,"119,723,740",5.9 GB
Nov - 2018,"Anonymous Italy #FifthOfNovember 2018",anon,"33,945",1.3 GB
Nov - 2018,"cameroonves.net",anon,"3,937",434.2 MB
Nov - 2018,"girl-cum.com",anon,"2,369",316.5 MB
Nov - 2018,"hthstudios.com",anon,"404,232",252.0 MB
Nov - 2018,"konsulat.gov.pl (documents)",anon,672,61.3 MB
Nov - 2018,"opensc.io",anon,"34,081",4.3 MB
Nov - 2018,"Minecraft Server - Astro Buycraft",anon,59,31.8 KB
Nov - 2018,"rockmusicshop.eu",anon,"4,822",333.3 KB
Nov - 2018,"sterownik.pl",anon,"3,525",176.5 KB
Nov - 2018,"bwfk.com",anon,"2,581",135.8 KB
Nov - 2018,"regenerateclothing.co.uk",anon,892,56.6 KB
Nov - 2018,"horoskopy.pl",anon,833,46.0 KB
Nov - 2018,"burgbad.ft",anon,296,7.2 KB
Nov - 2018,"szukaminwestora.pl",anon,300,6.0 KB
Nov - 2018,"hormozganiha.com",anon,529,29.1 KB
Nov - 2018,"marchwoodyc.org.uk",anon,291,7.3 KB
Nov - 2018,"gcz.ch",anon,"21,085",460.9 MB
Nov - 2018,"Psisyn (Youtube maillist)",anon,"11,152",13.1 MB
Nov - 2018,"unir.net",anon,483,3.6 MB
Nov - 2018,"concung.com",anon,"1,121",3.5 MB
Nov - 2018,"orozu.com",anon,53,36.0 KB
Nov - 2018,"dossierpolitico.com",anon,"9,363",1.1 MB
Nov - 2018,"merchantsnap.com",anon,161,56.6 KB
Nov - 2018,"co.norton.com",anon,18,40.5 KB
Nov - 2018,"Yahoo 78M Combolist",anon,"63,103,439",2.4 GB
Nov - 2018,"neo24.pl",anon,"705,031",1.8 GB
Nov - 2018,"reniec.gob.pe",anon,16,1.7 GB
