dump_name,breach_date,record_count,source,info
Curaden.de,,76388,Hashmob,md5($salt.$pass)
curadenacademy.com [bcrypt],,10284,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
curaden-dentaldepot.ch [presta],,42602,Hashmob,md5($salt.$pass)
curaden-dentaldepot.ch [bcrypt],,4677,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
blog.dsr2.ru,,13514,Hashmob,phpass
TheTVDB.com [sql],,169349,Hashmob,MySQL4.1/MySQL5
Sitcomsonline.com [vb],,42951,Hashmob,vBulletin < v3.8.5
SchenkYOU.de,,236603,Hashmob,sha256($salt.$pass)
SchenkYOU.de [md5],,133,Hashmob,MD5
DrukMistrz.pl,,9763,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Curaden.us [presta],,1354,Hashmob,md5($salt.$pass)
Curaden.us [bcrypt],,2254,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Curaden.nl [presta],,3915,Hashmob,md5($salt.$pass)
Curaden.nl [bcrypt],,178,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Curaden.fr [bcrypt],,1060,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Curaden.co.uk [presta],,199,Hashmob,md5($salt.$pass)
Curaden.co.uk [bcrypt],,3755,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Curaden.de [bcrypt],,4725,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Gawker.com,,195184,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
slpremium.ru,,738202,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
ShortEdition.com,,55658,Hashmob,sha512($salt.$pass)
OpenRaid.org [phpBB3],,457080,Hashmob,phpass
Guntrader.uk,,121126,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
fairytailhentaidb.com,,21363,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
fairytailhentaidb.com [phpBB3],,728,Hashmob,phpass
Gamergen.com,,935963,Hashmob,phpass
Sencha.com,,849332,Hashmob,vBulletin >= v3.8.5
forums.revora.net,,1226237,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
Unifaveni.com.br,,263574,Hashmob,phpass
Have I been Pwned v2025-03 (Delta V8.12) (SHA1),,420878532,Hashmob,SHA1
VideoToolbox.com,,579747,Hashmob,MySQL4.1/MySQL5
MyApple.pl,,185566,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
Jeu-concours.biz,,620847,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Coricamo.de,,93287,Hashmob,md5($salt.md5($pass.$salt))
Coricamo.de [bcrypt],,30066,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Cledesecurite.com,,16581,Hashmob,PrestaShop
Bettersport.gr,,39119,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Beautybuy.com.ua,,14013,Hashmob,Simpla CMS - md5($salt.$pass.md5($pass))
Beccontrols.com,,14115,Hashmob,MD5
Barcelonaled.com [presta],,119092,Hashmob,MD5
Barcelonaled.com [bcrypt],,194986,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Farmadelivery.com.br,,1150010,Hashmob,md5($salt.$pass)
Adecco.com,,3270221,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
A3M.com,,433922,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Zacks.com [2024-06],,1961793,Hashmob,SHA2-256
Strongholdkingdoms.com,,5816522,Hashmob,HMAC-RIPEMD160 (key = $salt)
Storybird.com [djangosha1],,1384815,Hashmob,Django (SHA-1)
Storenvy.com,,9682746,Hashmob,Ruby on Rails Restful-Authentication
Forums.xkcd.com,,546599,Hashmob,phpass
Forums.xkcd.com [bcrypt],,15149,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Cafepress.com,,5902984,Hashmob,"nsldap, SHA-1(Base64), Netscape LDAP SHA"
Bitcointalk.org,,450355,Hashmob,"sha256crypt $5$, SHA256 (Unix)"
Bitcointalk.org [sha1],,44865,Hashmob,SHA1
Beedoo.com.br,,432120,Hashmob,MD5
Armorgames.com,,7806281,Hashmob,sha1($salt.sha1($pass.$salt))
Comai.fr,,20075,Hashmob,md5($salt.$pass)
grpvyn.com,,255724,Hashmob,MD5
cmelitegroup.com,,50259,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Lecoqsportif.com.co,,47810,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
ftp.region20.com.ar,,84007,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
GlassGiant.com,,189577,Hashmob,MD5
Afibel.pl,,12918,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Afibel.pl [prestashop],,1319,Hashmob,md5($salt.$pass)
GameTime.com,,1134073,Hashmob,vBulletin < v3.8.5
tracelo.com,,94927,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
ostrov-shop.by,,765462,Hashmob,"sha512crypt $6$, SHA512 (Unix)"
mmo-db.com,,28003,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
minecoin.com,,906627,Hashmob,AuthMe sha256
espresso-jobs.com,,87781,Hashmob,phpass
espresso-jobs.com [bcrypt],,22136,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
bhfcouriers.com.au,,11468,Hashmob,MD5
Zamzamdirect.com,,16272,Hashmob,MD5
Verygames.com,,21807,Hashmob,vBulletin >= v3.8.5
Verygames.com [bcrypt],,747,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Unix.com,,157240,Hashmob,vBulletin < v3.8.5
Thesedayscontinue.org,,331809,Hashmob,vBulletin < v3.8.5
Skotos.net,,130312,Hashmob,vBulletin < v3.8.5
Skotos.net [bcrypt],,5737,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Sitcomsonline.com,,42949,Hashmob,vBulletin < v3.8.5
SchenkYou.com,,236926,Hashmob,sha256($salt.$pass)
Raffaello-Network,,827801,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Protecta.com.au,,59251,Hashmob,sha256($salt.$pass)
Pearldrummersforums.com,,197821,Hashmob,vBulletin >= v3.8.5
Owned.com,,72493,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Nterone.com,,203091,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Narutorp.net,,98866,Hashmob,vBulletin < v3.8.5
Multibux.org,,32244,Hashmob,vBulletin < v3.8.5
Masterforex-v.org,,166699,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
Lifeofpix.com,,175861,Hashmob,phpass
Killbillet.com [bcrypt],,33468,Hashmob,bcrypt(md5($pass)) / bcryptmd5
Killbillet.com,,87334,Hashmob,vBulletin >= v3.8.5
Goninja.de,,161145,Hashmob,vBulletin < v3.8.5
Gamershood.com [bcrypt],,111,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Gamershood.com,,85867,Hashmob,vBulletin >= v3.8.5
Forums.webzen.com,,208900,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Fortniteporn.org [phpass],,53696,Hashmob,phpass
Fortniteporn.org,,21191,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
FoodFood.com,,62441,Hashmob,phpass
Exclusivelygames.com,,13692,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Ecb.co.uk,,28328,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Ecb.co.uk [md5],,14069,Hashmob,MD5
Darkwindforums.com,,112974,Hashmob,MD5
Czforito.com,,63500,Hashmob,vBulletin < v3.8.5
Czforito.com [bcrypt],,27085,Hashmob,bcrypt(md5($pass)) / bcryptmd5
Cpokemon.com [vbulletin],,71371,Hashmob,vBulletin >= v3.8.5
Cpokemon.com [bcrypt],,220,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Cosforums.com,,100719,Hashmob,vBulletin < v3.8.5
Comunidadzero.com,,63500,Hashmob,vBulletin < v3.8.5
Comunidadzero.com [bcrypt],,27105,Hashmob,bcrypt(md5($pass)) / bcryptmd5
Bleutorch.com,,363081,Hashmob,SHA1
AlpineReplay.com,,632158,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Monstercars.nl,,17486,Hashmob,"osCommerce, xt:Commerce"
Tappware.com,,779,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
PurePC.pl,,124310,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
Aussiearcade.com,,18975,Hashmob,vBulletin >= v3.8.5
Aussiearcade.com [bcrypt],,652,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
LupaWorld.com,,523853,Hashmob,vBulletin < v3.8.5
umebluje.pl [prestashop],,9708,Hashmob,PrestaShop
umebluje.pl [bcrypt],,45131,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
pcTattletale.com,,48371,Hashmob,MD5
SilabGarza.com,,104276,Hashmob,vBulletin >= v3.8.5
RoninArmy.com,,7386,Hashmob,phpass
Nexva.com,,55623,Hashmob,MD5
MussleGurus.com [drupal],,36827,Hashmob,Drupal7
MussleGurus.com [bcrypt],,2664,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Miva.com,,30162,Hashmob,vBulletin < v3.8.5
Miva.com [bcrypt],,2637,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
ComicbookResources.com,,65197,Hashmob,vBulletin >= v3.8.5
CanadianProtein.com,,115462,Hashmob,sha1($salt.$pass)
Brianbanebbs.com,,321742,Hashmob,vBulletin < v3.8.5
BandaiNamcoEnt.com,,13,Hashmob,Drupal7
AudioModeling.com,,10,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
ShopSoft24.de,,344,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
2Invoice.ro,,76937,Hashmob,MD5
2Invoice.ro [bcrypt],,214,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
AndroidLista.com,,70265,Hashmob,sha1($salt.$pass)
Zumvu.com,,169892,Hashmob,MD5
CentralTickets.co.uk,,457144,Hashmob,SHA1
1Win.com Partners,,523665,Hashmob,SHA2-256
1Win.com,,73444633,Hashmob,SHA2-256
Nursing.com,,568221,Hashmob,phpass
Tvoe.ru,,2268605,Hashmob,"sha512crypt $6$, SHA512 (Unix)"
FastBalloons.com,,62492,Hashmob,MD5
AniDub.pro,,56107,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
Freecycle.org,,1807634,Hashmob,MD5
CrazyHD.com,,263632,Hashmob,MD5
eSoundz.com,,896,Hashmob,phpass
AnimeLeague.com,,24213,Hashmob,vBulletin >= v3.8.5
AnimeLeague.com [bcrypt],,13247,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Bar-Equipment.com [bCrypt],,849,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Subsunacs.net,,27516,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
Thelastdoor.com,,130549,Hashmob,phpass
PureIncubation.com,,3182354,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
InfinityLearn.com,,728095,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Chudbuds.lol,,3616,Hashmob,Python passlib pbkdf2-sha512
Bar-Equipment.com,,64755,Hashmob,md5($salt.$pass)
AuroraFN.dev,,125599,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
HubbleConnected.com,,441766,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
JMBullion.com,,485329,Hashmob,phpass
MegaModels.pl,,176429,Hashmob,SHA1
UpToSchoolWorksheets.com,,81787,Hashmob,MD5
RealDudesInc.com,,101872,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
MMGfusion.com [olsnewprod],,10738,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
KitchenPal.com,,146430,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
HLTV.org [bcrypt],,248913,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
HLTV.org [GoRainbowThis],,319875,Hashmob,md5(md5($plain).md5($plain).md5($plain).md5($plain).$salt)
Goku.watch,,87854,Hashmob,SHA1
Goku.watch [bcrypt],,15885,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Globaldtt.com,,300863,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
