"Acquisition_Date","Site","Description","Passwords"
"2021-04-07T00:00:00Z","Netway","In 2016, a hosting database belonging to the Thai hosting and IT provider Netway was allegedly leaked on a hacking forum. The leaked data contains passwords, usernames and additional personal information. This breach is being privately shared on the internet.","10529"
"2021-04-07T00:00:00Z","MineCoin","At an unknown date, the Russian Minecraft server MineCoin was allegedly breached. The stolen data contains email addresses, IPs, usernames, passwords and additional personal information. This breach is being privately shared on the internet.","903536"
"2021-04-23T00:00:00Z","Qatar Oil and Gas Directory","At an unknown date, the Qatar Oil and Gas Directory was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2020-01-01T00:00:00Z","Skyll","At an unconfirmed date, the simple machine forum Skyll was allegedly breached. The stolen data contains IPs, email addresses, usernames, passwords and additional personal information. This breach is being privately shared on the internet.","1100"
"2016-10-31T00:00:00Z","searchengines.ru","At an unconfirmed date, the Russian IT forum searchengines.ru was allegedly breached. The stolen data contains passwords, email addresses, salts, and usernames. This breach is being privately shared on the internet.","199131"
"2021-03-05T00:00:00Z","BlueOcean Gaming","At an unconfirmed date, the online casino platform provider BlueOcean Gaming was allegedly breached. The stolen data contains email addresses, usernames and additional personal information. This breach is being privately shared on the internet.","183"
"2021-04-21T00:00:00Z","ClearVoice Surveys","In August 2015, the market research company ClearVoice Surveys was allegedly breached. The stolen data contains passwords, IPs, email addresses and additional personal information. This breach is being privately shared on the internet.","13058915"
"2021-04-21T00:00:00Z","Phone House Espa̱a","At an unconfirmed date, the Spanish phone retailer Phone House Espa̱a was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2021-04-25T00:00:00Z","BigBasket","In October 2020, the Indian online grocery store BigBasket was allegedly breached. The stolen data contains email addresses, passwords, IPs and additional personal information. This breach is being privately shared on the internet.","20773111"
"2021-04-07T00:00:00Z","Crimecraft","At an unconfirmed date, the MMO shooter game Crimecraft was allegedly breached. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","784602"
"2021-03-28T00:00:00Z","Unknown PII Data Leak","In January 2021, a leaked dataset containing US citizen personal identifiers was found by a security researcher and initially attributed to the Astoria Company. Astoria subsequently has denied that the data originated from them and it is currently unknown the origin of the leak. The data contains IPs, email addresses, usernames, passwords, social security numbers, and additional personal information.","1871"
"2021-04-28T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","422658"
"2021-04-21T00:00:00Z","Unknown Marketing Data","In April 2021, marketing data collected from US consumers was leaked on an online hacking forum. The stolen data contains email addresses, addresses, and additional personal information. This breach is being privately shared on the internet.","0"
"2021-03-23T00:00:00Z","People of Brazil Data Leak","In March 2021, over one million records allegedly belonging to Brazilian citizens were leaked to an online hacking forum. The stolen data contains email addresses, national IDs and additional personal information. This breach is being privately shared on the internet.","0"
"2021-04-01T00:00:00Z","Gamesbox","At an unconfirmed date, the online gaming website Gamesbox was allegedly breached. The stolen data contains email addresses, usernames, passwords and additional personal information. This breach is being privately shared on the internet.","1488481"
"2021-04-13T00:00:00Z","JD.com","In 2013, the Chinese e-commerce site JD.com suffered a data breach. The stolen data contains email addresses, usernames, passwords, national ids, and phone numbers. This breach is being privately shared on the internet.","106334268"
"2021-03-24T00:00:00Z","BuiltUSA","At an unknown date, the American-made products retailer BuiltUSA was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2021-04-10T00:00:00Z","Upstox","At an unknown date, the Indian online stock broker Upstox was allegedly breached. The stolen data contains email addresses, passwords and additional personal information. This breach is being privately shared on the internet.","52915"
"2021-03-10T00:00:00Z","Instituto Nacional do Seguro Social (INSS)","At an unconfirmed date, the Brazilian Social Security Administration, Instituto Nacional do Seguro Social (INSS), was allegedly breached. The stolen data contains full names, national ID's and additional personal information. This breach is being privately shared on the internet.","0"
"2021-03-24T00:00:00Z","Owned","At an unknown date, the entertainment and social sharing website Owned was allegedly breached. The stolen data contains email addresses, usernames, passwords and additional personal information. This breach is being privately shared on the internet.","72439"
"2021-03-12T00:00:00Z","kclassifiedads","At an unknown date, the online classified ads website kclassifiedads was allegedly breached. The stolen data contains email addresses and passwords. This breach is being privately shared on the internet.","104129"
"2021-03-17T00:00:00Z","Meiku Photography Forum","At an unknown date, the Chinese Meiku Photography Forum was allegedly breached. The stolen data contains usernames, email addresses, and passwords. This breach is being privately shared on the internet.","120297"
"2021-04-02T00:00:00Z","Collezione","At an unknown date, the Turkish fashion retailer Collezione was allegedly breached. The stolen data contains email addresses, passwords, IPs and additional personal information. This breach is being privately shared on the internet.","192788"
"2021-03-24T00:00:00Z","CareerAge","At an unknown date, the Indian career portal CareerAge was allegedly breached. The stolen data contains email addresses, passwords and additional personal information. This breach is being privately shared on the internet.","236883"
"2021-04-14T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","270919"
"2020-01-01T00:00:00Z","Anime Forum","At an unknown date, the Russian anime forum Anime Forum was allegedly breached. The stolen data contains email addresses, salts, IPs, passwords, usernames and additional personal information. This breach is being privately shared on the internet.","132741"
"2021-03-12T00:00:00Z","CosmicPvP","At an unknown date, the private Minecraft factions server CosmicPvP was allegedly breached. The stolen data contains usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2021-03-17T00:00:00Z","Atlayo","In March 2021, the now-defunct dark web social network Atlayo was allegedly breached. The stolen data contains IPs, email addresses, usernames, passwords and additional personal information. This breach is being privately shared on the internet.","29100"
"2021-04-01T00:00:00Z","Private Fullz Leak","At an unknown date, a set of private banking details containing personally identifiable information (PII) was shared on an online hacking forum. The data contains email addresses, SSNs, drivers license numbers, IPs and additional personal information. This breach is being privately shared on the internet.","0"
"2021-04-01T00:00:00Z","Scraped Facebook Profile Data","In April 2021, over half a billion scraped Facebook profiles were posted freely on a hacking forum. The data encompassed profiles from over 100 countries and included fields such as email, facebook id, birthday, phone number and other PII. The data has since been shared widely on a variety of forums.","0"
"2021-03-12T00:00:00Z","Bitcoin Collection","At an unconfirmed date, several databases related to cryptocurrency were posted to an online hacking forum. The data contains passwords and email addresses. This compilation of breaches is being privately shared on the internet.","64353726"
"2021-03-15T00:00:00Z","IDCGames Forums","In December 2019, the Polish gaming site IDC Games Forums were allegedly breached. The stolen data contains usernames, email addresses, passwords, salts, and IPs. This breach is being privately shared on the internet.","3988192"
