dump_name,record_count,index_date,source
astropid.com,5789,2017-02-20,Leak-Lookup
lexpublib.org,0,2017-02-20,Leak-Lookup
dropbox.com,68680753,2017-02-20,Leak-Lookup
snapchat.com,4609622,2017-02-20,Leak-Lookup
vk.com,100562172,2017-02-20,Leak-Lookup
insk.ru,3967,2017-02-20,Leak-Lookup
linkedin.com,250778227,2017-02-20,Leak-Lookup
baltimorejewishlife.com,0,2017-02-20,Leak-Lookup
vbulletin.com,518495,2017-02-20,Leak-Lookup
neofriends.com,7945,2017-02-20,Leak-Lookup
adobe.com,152946574,2017-02-20,Leak-Lookup
sexsuche.com,2261,2017-02-20,Leak-Lookup
pcfone.info,905,2017-02-20,Leak-Lookup
fftoday.com,307172,2017-02-20,Leak-Lookup
imesh.com,51310960,2017-02-20,Leak-Lookup
ozsports.info,0,2017-02-20,Leak-Lookup
pharmadiscount24.com,21479,2017-02-20,Leak-Lookup
twitter.com,281238587,2017-02-20,Leak-Lookup
fdreview.com,1632,2017-02-20,Leak-Lookup
glass.org,7392,2017-02-20,Leak-Lookup
cardingmafia.ws,177940,2017-02-20,Leak-Lookup
myspace.com,360212437,2017-02-20,Leak-Lookup
ir-tci.org,1254069,2017-02-20,Leak-Lookup
comicbookdb.com,52734,2017-02-20,Leak-Lookup
seemnemaailm.ee,0,2017-02-20,Leak-Lookup
cardingplanet.biz,396,2017-02-20,Leak-Lookup
eroticy.com,1598013,2017-02-20,Leak-Lookup
gmail.com,61575571,2017-02-20,Leak-Lookup
mail.ru,11548452,2017-02-20,Leak-Lookup
bitshacking.com,41348,2017-02-20,Leak-Lookup
the-athenaeum.com,0,2017-02-20,Leak-Lookup
hotelworkersrising.org,224,2017-02-20,Leak-Lookup
carlsonrezidor.com,0,2017-02-20,Leak-Lookup
oscrap.com,0,2017-02-20,Leak-Lookup
ichatlatino.com,0,2017-02-20,Leak-Lookup
habbo.st,901657,2017-02-20,Leak-Lookup
asuslaptop.net,4065,2017-02-20,Leak-Lookup
plex.tv,328833,2017-02-20,Leak-Lookup
wowfon.com,5401,2017-02-20,Leak-Lookup
aeromorning.com,960,2017-02-20,Leak-Lookup
paylineshop.com,20,2017-02-20,Leak-Lookup
agentofchange.net,0,2017-02-20,Leak-Lookup
yandex.com,1261810,2017-02-20,Leak-Lookup
