Database Name,Leak Date,Size,What's Inside,Description
Valkyrie WOW,2015-03,"157,331",,
Host Hatch,0000-00,"20,646",,
Deathaddict.com (VB Exploit),2016-11,"3,373",,
campgroundmaster.com (VB Exploit),2016-11,"1,116",,
forum.Keypublishing.com (VB Exploit),2016-11,"45,670",,
GamerzPlanet.net,2015-10,"1,215,132",,
H1Z1 Forum,2017-03-06,"10,744",,
Anstalten.nu,2012-08,"212,677",,
veganforum.com (VB Exploit),2016-11,"11,214",,
SubaGames Forum,2016-11,"3,608,339",,
My Air Bags,2016-06,"15,327",,
DFB,0000-00,"22,820,525",,
Planet Minecraft,0000-00,"403,414",,
Dayz Forum,2016-04,"206,048",,
belegal.com (VB Exploit),2016-11,1,,
Nugget Bridge,2016-12,"5,075",,
BloggTrafik.nu,0000-00,"144,401",,
vrtalk.com (VB Exploit),2016-11,"2,366",,
New Sea Sims,2016-08,"109,210",,
Ausbb.com (VB Exploit),2016-11,"79,734",,
CrackingForum.com,2015-09-01,"659,289","Usernames, Emails, IPs and Passwords",CrackingForum is a forum based around cracking
Quianno,2010-06-16,"700,061",,
fightsite.hr (VB Exploit),2016-11,"5,005",,
DownloadPolitics.com (VB Exploit),2016-11,"1,925",,
PS3 Hax,2015-09,"440,755",,
TheAirTacticalAssaultGroup.com (VB Exploit),2016-11,"11,569",,
Florida.gov,2016-10,"23,460",,
Brazzers.com,2013-04,"928,072",,
PS3ISO,2015-09,"298,173",,
RN.org,2016-02,"348,956",,
SubaGames Ingame Details,2016-11,"8,164,749",,
Plex.TV,2015-00,"657,663",,
Sythe,2014-11-01,"262,720","Usernames, Emails and Passwords",Sythe.org. One of the top runescape cheating websites.
SearchData.online Data Breach Search Engine,2017-03-25,512,,
Seven Dollar Click,2016-07,"109,935",,
BC Wars,2011-03,"101,773",,
I-Dressup,2016-08,"2,211,048",,
Best-Hack Russian Hacking Forum,2017-01-24,"113,472",,
Italian Hax,2017-01-29,"7,518",,
RootKit,2011-02-06,"81,532",,
renntrack.com (VB Exploit),2016-11,"4,121",,
League Mode,0000-00,"2,968",,
Mate1,2016-02-01,"12,887,127","Names, Genders, DOBs, Usernames, Emails and Passwords","Mate1 is an online dating site, the breach that occurred leaked VERY sensitive data."
Bleach Anime,2015-00,"145,135",,
Epic Games Forum,2016-08,"277,944",,
Snail Games,0000-00,"1,415,712",,
support.pixelentity.com (VB Exploit),2016-11,"8,123",,
SoloMid,2014-11,"442,513",,
