id,name,entries,breach_date,unverified,passwordless,compilation
1,MyHeritage.com,"{'l': 0, 'e': 86739843}",2017-10,0,0,0
2,BlackHatDevil.com,"{'l': 0, 'e': 14286}",,0,0,0
3,Brazzers.com,"{'l': 0, 'e': 795143}",2013-04,0,0,0
4,Paxful.com,"{'l': 0, 'e': 283050}",,0,0,0
5,Wanadoo,"{'e': 137847, 'l': 0}",,0,0,0
6,Aternos.org,"{'e': 919851, 'l': 858934}",2015-12,0,0,0
7,ButterFlyLabs.com,"{'l': 0, 'e': 18451}",2014-11,0,0,0
8,Cfire.mail.ru,"{'e': 10144950, 'l': 8876509}",2016-08,0,0,0
9,MMORG.net,"{'l': 0, 'e': 2341848}",,0,0,0
10,MineSerwer.pl,"{'l': 0, 'e': 11323}",,0,0,0
11,FFShrine.org,"{'l': 0, 'e': 491121}",2015-09,0,0,0
12,Wallet.btc.com,"{'l': 0, 'e': 12510}",,0,0,0
13,MerlinsMagicBitcoins.com,"{'l': 0, 'e': 1531}",,0,0,0
14,AnyWhere.xxx,"{'l': 0, 'e': 512694}",,0,0,0
15,MythicalWorld.net,"{'l': 0, 'e': 73697}",2015-09,0,0,0
16,Poloniex.com,"{'l': 0, 'e': 949697}",,0,0,0
18,Hitfinex,"{'l': 0, 'e': 441869}",,0,0,0
19,Coins.numizmat.net,"{'l': 0, 'e': 2911}",,0,0,0
20,Parapa.mail.ru,"{'e': 4690664, 'l': 4283713}",2016-08,0,0,0
21,CapitalGames.com,"{'l': 0, 'e': 430404}",2015-10,0,0,0
22,Cafepress.com,"{'e': 10069713, 'l': 0}",2019-02,0,0,0
23,Cannabiscardpay.com,"{'l': 0, 'e': 10828}",2017-10,0,0,0
24,Dailymotion.com,"{'e': 1430751, 'l': 1163019}",2016-10,0,0,0
25,Clubfactory.com,"{'l': 0, 'e': 10842}",,0,0,0
26,FrostLand,"{'l': 0, 'e': 343199}",,0,0,0
27,Nextgenupdate.com,"{'e': 1049807, 'l': 1004087}",2013-12,0,0,0
28,Hmps.in,"{'l': 0, 'e': 123578}",2019-09,0,0,0
29,Xoffer.hk,"{'l': 0, 'e': 37261}",,0,0,0
30,Evgexacraft.ru,"{'l': 0, 'e': 295606}",,0,0,0
31,Xpgamesaves.com,"{'l': 0, 'e': 739574}",2015-12,0,0,0
32,Lacedrecords.co,"{'l': 0, 'e': 52146}",,0,0,0
33,Bondagestory.biz,"{'l': 0, 'e': 37512}",,0,0,0
34,MemberReportAccess.com,"{'l': 0, 'e': 888962}",,0,0,0
35,Gfycat.com,"{'l': 0, 'e': 146086}",,0,0,0
36,FoxyBingo.com,"{'l': 0, 'e': 258097}",2007-03,0,0,0
37,Hongfire.com,"{'e': 846397, 'l': 761080}",2015-03,0,0,0
38,iMesh.com,"{'e': 44113700, 'l': 41688594}",2013-09,0,0,0
39,Iqrashop.com,"{'l': 0, 'e': 130211}",,0,0,0
40,Powerbot.org,"{'l': 124987, 'e': 427584}",2014-09,0,0,0
41,CheatGamer.com,"{'l': 0, 'e': 337122}",,0,0,0
42,Avvo.com,"{'e': 1926666, 'l': 0}",,0,0,0
43,CashCrate.com,"{'l': 0, 'e': 6457026}",2016-11,0,0,0
44,Creocommunity.com,"{'l': 0, 'e': 188684}",2017-11,0,0,0
45,Forums.Cdprojektred.com,"{'l': 0, 'e': 623161}",,0,0,0
46,Dogewallet.com,"{'l': 0, 'e': 22305}",2013-12,0,0,0
48,StockX.com,"{'e': 8947015, 'l': 6763332}",2019-07,0,0,0
