dump_name,breach_date,record_count,source
MyHeritage.com,2017-10,89769623,LeakCheck.io
BlackHatDevil.com,,804927,LeakCheck.io
Brazzers.com,2013-04,795121,LeakCheck.io
Paxful.com,,283048,LeakCheck.io
Wanadoo,,137555,LeakCheck.io
Aternos.org,2015-12,1233904,LeakCheck.io
ButterFlyLabs.com,2014-11,18451,LeakCheck.io
Cfire.mail.ru,2016-08,13405866,LeakCheck.io
MMORG.net,,2342657,LeakCheck.io
MineSerwer.pl,,11323,LeakCheck.io
FFShrine.org,2015-09,593278,LeakCheck.io
Wallet.btc.com,,12488,LeakCheck.io
MerlinsMagicBitcoins.com,,1531,LeakCheck.io
AnyWhere.xxx,,512610,LeakCheck.io
MythicalWorld.net,2015-09,73697,LeakCheck.io
Poloniex.com,,949135,LeakCheck.io
Hitfinex,,441869,LeakCheck.io
Coins.numizmat.net,,2911,LeakCheck.io
Parapa.mail.ru,2016-08,4763914,LeakCheck.io
CapitalGames.com,2015-10,639573,LeakCheck.io
Cafepress.com,2019-02,10069686,LeakCheck.io
Cannabiscardpay.com,2017-10,10828,LeakCheck.io
Dailymotion.com,2016-10,84877188,LeakCheck.io
Clubfactory.com,,10842,LeakCheck.io
FrostLand,,343199,LeakCheck.io
Nextgenupdate.com,2013-12,1197429,LeakCheck.io
Hmps.in,2019-09,123578,LeakCheck.io
Xoffer.hk,,37261,LeakCheck.io
Evgexacraft.ru,,295606,LeakCheck.io
Xpgamesaves.com,2015-12,957298,LeakCheck.io
Lacedrecords.co,,52146,LeakCheck.io
Bondagestory.biz,,37512,LeakCheck.io
MemberReportAccess.com,,888962,LeakCheck.io
Gfycat.com,,146084,LeakCheck.io
FoxyBingo.com,2007-03,258097,LeakCheck.io
Hongfire.com,2015-03,1470534,LeakCheck.io
iMesh.com,2013-09,50183631,LeakCheck.io
Iqrashop.com,,130210,LeakCheck.io
Powerbot.org,2014-09,512740,LeakCheck.io
CheatGamer.com,,337118,LeakCheck.io
Avvo.com,,2234283,LeakCheck.io
CashCrate.com,2016-11,6847583,LeakCheck.io
Creocommunity.com,2017-11,188683,LeakCheck.io
Forums.Cdprojektred.com,,1871337,LeakCheck.io
Dogewallet.com,2013-12,22305,LeakCheck.io
StockX.com,2019-07,13430414,LeakCheck.io
Gameshot.net,2017-10,300062,LeakCheck.io
Duelingnetwork.com,2017-03,6504438,LeakCheck.io
BlankMediaGames.com,2018-12,7603974,LeakCheck.io
WorldPokerTour.com,,89361,LeakCheck.io
Lotro.com,2013-07,960867,LeakCheck.io
Fotoboom.com,,88497,LeakCheck.io
PvPWars.net,,11825,LeakCheck.io
OmegaCraft.cl,,1277,LeakCheck.io
EpicGames.com,2016-07,251698,LeakCheck.io
ShoppingBitcoins.com,,2974,LeakCheck.io
Forums.xkcd.com,2019-07,562081,LeakCheck.io
Renren.com,2011-11,3028494,LeakCheck.io
Bendercraft.ru,,157373,LeakCheck.io
Elance.com,2009-01,1253008,LeakCheck.io
Liancaijing.com,,122871,LeakCheck.io
Hostinger,,311564,LeakCheck.io
Mediafire.com,,138529,LeakCheck.io
Frozencraft.ru,2015-01,27606,LeakCheck.io
Forbes.com,2014-02,1040158,LeakCheck.io
Whitepages.com,2016-06,11705538,LeakCheck.io
Stickam.com,2017-11,534598,LeakCheck.io
Playforceone.com,,213115,LeakCheck.io
Coinmama.com,2017-08,557108,LeakCheck.io
Xclan.org,,11586,LeakCheck.io
GFAN.com,2016-10,19024234,LeakCheck.io
Hautelook.com,2018-08,29171806,LeakCheck.io
Mpgh.net,2015-10,3270839,LeakCheck.io
PubPit.com,,51178,LeakCheck.io
Kraken.com,,14362,LeakCheck.io
Animoto.com,2018-07,22703483,LeakCheck.io
R2Games.com,2015-11,22765266,LeakCheck.io
Bleachanime.org,2014-11,109611,LeakCheck.io
Corevin.com,,730928,LeakCheck.io
Ueber18.de,2016-12,496715,LeakCheck.io
EyeEm.com,2018-02,18328299,LeakCheck.io
Roll20.net,2018-12,1847361,LeakCheck.io
Canva.com,2019-05,145508873,LeakCheck.io
Developers-Heaven.net,2019-08,4169,LeakCheck.io
Hacker.co.kr,2009-11,1352850,LeakCheck.io
