"Database","Hash (Algorithm)"
"Peatix","NSLDAPS"
"CafePress","NSLDAPS"
"Bigbasket","DJANGOSHA1"
"Storybird","PBKDF2/DJANGOSHA1"
"Storangefront","PBKDF2"
"Reincubate","PBKDF2"
"Dunzo","PBKDF2"
"Sonicbids","PBKDF2"
"Dubsmash","PBKDF2"
"Houzz","SHA512CRYPT"
"Tokopedia","SHA2-384/MD5"
"Promo","SHA256-Salted"
"Famm.us","SHA256(MD5(PLAIN)PLAIN)"
"Shotbow.net","SHA256(SHA256(PLAIN)SALT)"
"Payad.me","SHA256(PLAINSALT)/Unknown"
"Animoto","SHA256(PLAINSALT)"
"Bonobos","SHA256(PLAINSALT)/SHA512(PLAINSALT)"
"Vivadogs","SHA256(SALTPLAIN)"
"Gamesmadeinpola","SHA256(AuthMe)"
"Questcraft.net","SHA256(AuthMe)"
"CombatCraft","SHA256(AuthMe)"
"MineCoin.su","SHA256(AuthMe)"
"Molecularlab.it","SHA256"
"Animaljam","SHA1DASH"
"Zynga","SHA1DASH"
"Avvo","SHA1DASH"
"Jobandtalent","SHA1DASH"
"8Tracks","SHA1DASH"
"Tuts.by","SHA1(PLAINSALT)"
"Rewardstyle","SHA1(PLAINSALT)"
"AdultFriendFinder-2016","SHA1(PLAINSALT)"
"Disqus","SHA1(SALTPLAIN)"
"Paragon-Servers","SHA1(SALTPLAIN)"
"MyHeritage","SHA1(PLAINSALT)"
"Shopback","SHA1(SALTPLAIN)"
"EyeEm","SHA1(SALTPLAIN)"
"MyFitnesspal","SHA1(SALTPLAIN)"
"Stalker.so","SHA1(SALTPLAIN)/SHA1(SHA1(SALTPLAIN))"
"Peepmyporn","SHA1(MD5(PLAIN)SALT)"
"Havenly","SHA1-Salted"
"Pizap","SHA1-Salted"
"Armor Games","SHA1-Salted"
"Dropbox_SHA1","SHA1-Salted"
"MySpace-Salted","SHA1-Salted"
"Imageflea","SHA1"
"Citybee.lt","SHA1"
"Loginsz.org","SHA1"
"Ssimport","SHA1"
"Joinpiggy","SHA1"
"Brandnewtube","SHA1"
"Shockgore","SHA1"
"Miniclip","SHA1"
"Megavideopass","SHA1"
"Uniformsolutions.co.in","SHA1"
"NovaFM.com.au","SHA1"
"EstanteVirtual.com.br","SHA1"
"Elance","SHA1"
"Cheapnet","SHA1"
"Over-Blog","SHA1"
"Soulsplit","SHA1"
"Aptoide","SHA1/SHA256-Salted"
"GameSalad","SHA1/SHA256"
"Sweclockers","SHA512(SALTMD5(PLAIN))"
"Takoyaki","SHA1/SHA512"
"Chatbooks","SHA512(PLAININSDPSALT)"
"Artsy","SHA512-Salted"
"500px","SHA512-Salted/Bcrypt/MD5"
"BTC-E","scrypt & SHA-512"
"WifeLovers","DESCRYPT"
"Sharethis","DESCRYPT"
"Romwe","OSCOMMERCE"
"Redmart.lazada.sg","OSCOMMERCE"
"Zomato","OSCOMMERCE"
"Omaze","WordPress"
"ScamxPoser","WordPress"
"Playtheplanet.org","VBulletin/BcryptMD5"
"Indianrealestateforum","VBulletin/BcryptMD5"
"Zoomsearchengine","VBulletin/BcryptMD5"
"Forums.Gamershood.com","VBulletin/BcryptMD5"
"Psntrophyleaders","VBulletin/BcryptMD5"
"Decentplayboy","VBulletin/BcryptMD5"
"Wakacje.pl","VBulletin/BcryptMD5"
"Gamersoul","VBulletin/BcryptMD5"
"Telefon-treff.de","VBulletin/BcryptMD5"
"FreehostForum","VBulletin/BcryptMD5"
"Forum.Skotos.net","VBulletin/BcryptMD5"
"Dgm-forum.org","VBulletin/BcryptMD5"
"Forum.vmedia.ca","VBulletin/BcryptMD5"
"Foxitsoftware","VBulletin/BcryptMD5"
"Battleroyaleforums","VBulletin/Bcrypt"
"Forum.esignal.com","VBulletin/Bcrypt"
"Hiluxsurf.co.uk","VBulletin/Bcrypt"
"Hookers.nl","VBulletin/Bcrypt"
"HongFire","VBulletin/Bcrypt"
"Smogon","VBulletin/Bcrypt"
"Forums.Shell-Livewire.com","VBulletin/MD5"
"AarinFantasy","VBulletin/Joomla"
"G6hentai","VBulletin"
"Pearldrummersforums","VBulletin"
"Eccie.net","VBulletin"
"Bestgamer.ru","VBulletin"
"Escortreviews","VBulletin"
"Sencha","VBulletin"
"Jeepforum","VBulletin"
"Mmo-trick","VBulletin"
"D3scene-2020","VBulletin"
"Grimdawn","VBulletin"
"Koeitecmoeurope","VBulletin"
"Gsmhosting","VBulletin"
"Joygames.me","VBulletin"
"Forums.Vkmonline.com","VBulletin"
"Anjian","VBulletin"
"Evermotion.org","VBulletin"
"RCRacing","VBulletin"
"Burmjunkies","VBulletin"
"Hairmaxforum","VBulletin"
"Simcityforum","VBulletin"
"Ahoygame","VBulletin"
"Trackmill","VBulletin"
"Joygame","VBulletin"
"Forums.Soargames.com","VBulletin"
"BeyondUnreal","VBulletin"
"Mac-Forums","VBulletin"
"WiiHacks","VBulletin"
"Forums.Gamevil.com","VBulletin"
"Twcenter.net","VBulletin"
"Forum.Warmane.com","VBulletin"
"Belltreeforum","VBulletin"
"Pcreview.co.uk","VBulletin"
"3djobs","VBulletin"
"360icons","VBulletin"
"Pokecommunity","VBulletin"
"Forums.Freegame2017.com","VBulletin"
"Ownedcore","VBulletin"
"GamerzPlanet","VBulletin"
"UnrealEngine","VBulletin"
"Av-tw.net","VBulletin"
"Mrexcel","VBulletin"
"D3scene","VBulletin"
"Xbox360iso","VBulletin"
"Onverse","VBulletin"
