"UserCount","YearBreached","Domain","Name"
"999,999,999","2019","Collection","Multiple Collections (1 to 5 + AntiPublic + Zabugor + Myrq)"
"13,545,468","2015","0webhost.com","0Webhost"
"18,965","2013","1337-crew.to","1337 Crew"
"586","2014","143vpn.com","143VPN"
"9,072,977","2011","178.com","178"
"28,052,322","2016","17.media","17.Media (17 直播)"
"14,928,048","2011","7k7k.com","7k7k"
"782,609","2016","abandonia.com","Abandonia"
"432,943","2014","acne.org","Acne"
"152,445,165","2013","adobe.com","Adobe"
"3,867,997","2015","adultfriendfinder.com","Adult Friend Finder"
"166,380","2014","aimjunkies.com","Aim Junkies"
"132,788","2015","alabama.gov","Alabama Voter"
"487,415","2015","alaska.gov","Alaska Voter"
"200,257","2016","allwomenstalk.com","All Womens Talk"
"8,508","2016","alphas.sx","Alphas.sx Forum"
"745,355","2012","androidforums.com","Android Forums"
"170,707","2016","animutank.com","Animu Tank"
"30,811,934","2015","ashleymadison.com","Ashley Madison"
"88,871","2015","autohotkey.com","Auto Hot Key (AHK)"
"422,959","2014","avast.com","Avast"
"355,161","2010","apple.com","Apple"
"26,554","2017","forums.bandainamcogames.com","Bandai Namco Forums"
"530,270","2011","battlefieldheroes.com","Battlefield Heroes"
"112,005,531","2016","badoo.com","Badoo"
"1,022,883","2014","binweevils.com","Bin Weevils"
"41,348","2014","bitshacking.com","BitsHacking"
"777,387","2014","blackhatworld.com","Black Hat World"
"144,979","2015","bleachanime.org","Bleach Anime"
"790,724","2013","brazzers.com","Brazzers"
"227,747","2014","cannabis.com","Cannabis Forum"
"177,940","2016","cardingmafia.ws","Carding Mafia"
"444,767","2015","cheapassgamer.com","Cheap Ass Gamer"
"348,556","2017","chinaeko.com","China EKO"
"3,525,885","2015","colorado.gov","Colorado Voter"
"616,882","2015","xfinity.com","Comcast"
"65,197","2016","comicbookresources.com","Comic Book Resources"
"2,391,357","2015","connecticut.gov","Connecticut Voter"
"469,550","2015","crackingforum.com","Cracking Forum"
"942,044","2016","*Multiple*","CrimeAgency vBulletin Dump"
"12,884,302","2016","cfire.mail.ru","CrossFire Forum"
"32,816","2015","d3scene.com","D3Scene"
"1,645,529","2013","ddo.com","Dungeons & Dragons"
"16,283,140","2011","dodonew.com","Dodonew (嘟嘟)"
"206,585","2016","forums.dayz.com","DayZ.com Forum"
"7,902","2015","dayzforum.net","DayzForum.net"
"645,327","2015","delaware.gov","Delaware Voter"
"11,613","2016","demonforums.net","Demon Forums"
"4,299","2016","digitalgangster.com","Digital Gangster"
"3,231,255","2016","dlh.net","Dirty Little Helper"
"68,648,009","2012","dropbox.com","Dropbox"
"54,911","2016","djchat.com","DJChat"
"71,221","2016","exilemod.com","Exile Mod"
"122,922,938","2015","experian.com","Experian T-Mobile Records"
"31,547","2015","fbi.gov","FBI+DHS Employee Dump"
"1,942,380","2016","flashflashrevolution.com","Flash Flash Revolution"
"40,767,652","2011","fling.com","Fling"
"12,539,780","2013","florida.gov","Florida Voter"
"1,071,963","2014","forbes.com","Forbes"
"2,513,523","2016","funimation.com","FUNimation"
"8,243,604","2012","gamigo.com","Gamigo"
"197,184","2016","gtagaming.com","GTAGaming"
"5,278","2016","gta5base.com","GTA5Base"
"888,584","0000","habbo.st","Habbo.st Hotel"
"95,338","2017","horseandhound.co.uk","Horse & Hound"
"756,614","2016","hltv.org","HLTV"
"49,467,477","2013","imesh.com","iMesh"
"172,314","2015","ipmart-bg.com","iPmart BG"
"8,283,110","2011","kaixin001.com","Kaixin001"
"37,217,682","2012","last.fm","Last.fm"
"11,870,144","2016","lbsg.net","Lifeboat Network"
"6,085,759","2016","leet.cc","Leet.cc Minecraft"
"144,989","2016","linuxmint.com","Linux Mint"
"241,828,770","2016","linkedin.com","LinkedIn"
"13,451","2015","lizardsquad.org","Lizard Squad Stresser"
"1,358,358","2013","lotro.org","Lord Of The Rings"
"4,821,262","2014","mail.ru","Mail.Ru Dump"
"268,947","2015","majorgeeks.com","Major Geeks"
"27,393,015","2016","mate1.com","Mate1"
"13,080,236","2016","mcresolver.pw","Minecraft Resolver"
"7,408,330","2015","michigan.gov","Michigan Voter"
"188,552","2015","minefield.fr","MineField"
"58,848,308","2016","modbsolutions.com","Modern Business Solutions"
"2,648,739","0000","mop.com","Mop"
"3,122,898","2015","mpgh.net","MultiPlayer Game Hacks & Cheats"
"699,793","2015","mspy.com","mSpy"
"149,830","2016","muslimmatch.com","Muslim Match"
"360,213,048","2008","myspace.com","Myspace"
"1,756,489","2016","naughtyamerica.com","Naughty America"
"26,892,897","2016","neopets.com","Neopets"
"288,584,667","2015","163.com|126.com","NetEase(163.com & 126.com)"
"109,199","2016","newseasims.com","NewseaSIMS"
"71,804","2015","newsoflegends.com","News Of Legends"
"1,194,597","2014","nextgenupdate.com","NextGenUpdate"
"1,697,282","2015","nihonomaru.net","Nihonomaru"
