dump_name,breach_date,record_count,source
0-o.ca,,,ScatteredSecrets
000webhost.com,,,ScatteredSecrets
01186mb.ca,,,ScatteredSecrets
012.ca,,,ScatteredSecrets
0286780777.com,,,ScatteredSecrets
03designscommunications.ca,,,ScatteredSecrets
0420.ca,,,ScatteredSecrets
063305500.lifeshow.com.tw,,,ScatteredSecrets
0827ug.com,,,ScatteredSecrets
0985983777.com.tw,,,ScatteredSecrets
0charges.com,,,ScatteredSecrets
1-sonbmsm.uz,,,ScatteredSecrets
1.34.179.198,,,ScatteredSecrets
1000LiteraryAgents.com,,,ScatteredSecrets
1001-AutoEntrepreneurs.com,,,ScatteredSecrets
1005.idv.hk,,,ScatteredSecrets
103.247.238.81,,,ScatteredSecrets
10kadum.com,,,ScatteredSecrets
110.157.239.29,,,ScatteredSecrets
1111.com.tw,,,ScatteredSecrets
117.20.102.124,,,ScatteredSecrets
11NET.com.tw,,,ScatteredSecrets
1219flower.com,,,ScatteredSecrets
123-Finder.de,,,ScatteredSecrets
123RF.com,,,ScatteredSecrets
123facts.com,,,ScatteredSecrets
123nu.dk,,,ScatteredSecrets
125.20.160.197,,,ScatteredSecrets
126.com,,,ScatteredSecrets
128.199.161.155,,,ScatteredSecrets
12Liceum.edu.pl,,,ScatteredSecrets
12Print.it,,,ScatteredSecrets
13.114.67.45,,,ScatteredSecrets
1313kisanmart.com,,,ScatteredSecrets
1337-Crew.to,,,ScatteredSecrets
138gsm.ru,,,ScatteredSecrets
1411.com.es,,,ScatteredSecrets
143VPN.com,,,ScatteredSecrets
1452arte.com,,,ScatteredSecrets
149.202.158.241,,,ScatteredSecrets
14JkSc.in,,,ScatteredSecrets
153weather.com,,,ScatteredSecrets
158.199.171.146,,,ScatteredSecrets
158.199.171.86,,,ScatteredSecrets
162.221.202.181,,,ScatteredSecrets
17.media,,,ScatteredSecrets
17173.com,,,ScatteredSecrets
194.187.144.23,,,ScatteredSecrets
194.85.4.157,,,ScatteredSecrets
1directory.ru,,,ScatteredSecrets
1not1.com,,,ScatteredSecrets
1pad.ru,,,ScatteredSecrets
1st-for-Provence-Property.co.uk,,,ScatteredSecrets
1win.com,,,ScatteredSecrets
200.43.6.151,,,ScatteredSecrets
202.84.39.36,,,ScatteredSecrets
203.157.186.15,,,ScatteredSecrets
208.52.138.117,,,ScatteredSecrets
20PLN.pl,,,ScatteredSecrets
210.116.102.148,,,ScatteredSecrets
210.212.119.163,,,ScatteredSecrets
211.115.89.68,,,ScatteredSecrets
211.202.2.128,,,ScatteredSecrets
212-Booter.net,,,ScatteredSecrets
212300.com,,,ScatteredSecrets
216.198.201.9,,,ScatteredSecrets
216.239.132.9,,,ScatteredSecrets
216.38.51.242,,,ScatteredSecrets
216.69.134.28,,,ScatteredSecrets
216.92.209.72,,,ScatteredSecrets
222.122.47.14,,,ScatteredSecrets
24-7carrental.com,,,ScatteredSecrets
24404214.com.tw,,,ScatteredSecrets
247friend.net,,,ScatteredSecrets
247mainstreet.com,,,ScatteredSecrets
24cats.ru,,,ScatteredSecrets
25533311.tw,,,ScatteredSecrets
27.254.109.162,,,ScatteredSecrets
2NDFLOOR.org,,,ScatteredSecrets
2PacLegacyboard.net,,,ScatteredSecrets
2invoice.ro,,,ScatteredSecrets
2krossovka.ru,,,ScatteredSecrets
2love.co.il,,,ScatteredSecrets
2wild.ru,,,ScatteredSecrets
300E2.org,,,ScatteredSecrets
306team.pl,,,ScatteredSecrets
321Gory.pl,,,ScatteredSecrets
35.154.234.142,,,ScatteredSecrets
35fg.net,,,ScatteredSecrets
360icons.com,,,ScatteredSecrets
365-Trade.com,,,ScatteredSecrets
3740NLakeShore.com,,,ScatteredSecrets
39maido.com,,,ScatteredSecrets
3CHONORS.com,,,ScatteredSecrets
3D-Ring.de,,,ScatteredSecrets
3DSISO.com,,,ScatteredSecrets
3DSuperb.com,,,ScatteredSecrets
3GiePe.pl,,,ScatteredSecrets
3Gimmo-Prestige.com,,,ScatteredSecrets
3djobs.com,,,ScatteredSecrets
3dom.ru,,,ScatteredSecrets
401kTimer.com,,,ScatteredSecrets
41.225.16.99,,,ScatteredSecrets
4170NMarine.com,,,ScatteredSecrets
43.231.127.34,,,ScatteredSecrets
45-rpm-records.ad-bazaar.com,,,ScatteredSecrets
45minut.pl,,,ScatteredSecrets
46.249.199.197,,,ScatteredSecrets
469ma.jp,,,ScatteredSecrets
47inf.org,,,ScatteredSecrets
49f.co.kr,,,ScatteredSecrets
4METAL.de,,,ScatteredSecrets
4METAL.us,,,ScatteredSecrets
4Metin.org,,,ScatteredSecrets
4colorprint.com,,,ScatteredSecrets
4dinnerBangkok.com,,,ScatteredSecrets
4m.net,,,ScatteredSecrets
4noses.org,,,ScatteredSecrets
4oem.ru,,,ScatteredSecrets
4saisons.fr,,,ScatteredSecrets
4uck.org,,,ScatteredSecrets
4wd-shop.ru,,,ScatteredSecrets
5.135.157.115,,,ScatteredSecrets
5.45.80.30,,,ScatteredSecrets
50.19.228.97,,,ScatteredSecrets
5000Pochoirs.info,,,ScatteredSecrets
500px.com,,,ScatteredSecrets
505McClurg.com,,,ScatteredSecrets
5092778.ru,,,ScatteredSecrets
52.66.141.39,,,ScatteredSecrets
53Hotel.com.tw,,,ScatteredSecrets
5Manager.com,,,ScatteredSecrets
5MilesLab.com,,,ScatteredSecrets
5furon.com,,,ScatteredSecrets
5smly.com,,,ScatteredSecrets
67logos.com,,,ScatteredSecrets
69.61.52.219,,,ScatteredSecrets
7-camicie.com,,,ScatteredSecrets
72dpi.com,,,ScatteredSecrets
740074.ru,,,ScatteredSecrets
7k7k.com,,,ScatteredSecrets
7torony.hu,,,ScatteredSecrets
8052mcu.com,,,ScatteredSecrets
80bola.com.wwoof.cz,,,ScatteredSecrets
82.112.223.85,,,ScatteredSecrets
87sesang.com,,,ScatteredSecrets
8MinDating.com,,,ScatteredSecrets
8eyedbaby.com,,,ScatteredSecrets
8fit.com,,,ScatteredSecrets
8keyz.com,,,ScatteredSecrets
8tracks.com,,,ScatteredSecrets
9.130-73-188.telenet.ru,,,ScatteredSecrets
93.174.93.196,,,ScatteredSecrets
93app.com,,,ScatteredSecrets
94.125.180.127,,,ScatteredSecrets
94.23.199.139,,,ScatteredSecrets
9Teens.org,,,ScatteredSecrets
A-PIU-SRL.com,,,ScatteredSecrets
A-Trains.com,,,ScatteredSecrets
AABL.com,,,ScatteredSecrets
AAIQ.org.ar,,,ScatteredSecrets
AAU.ac.in,,,ScatteredSecrets
ABAC.org.br,,,ScatteredSecrets
ABBA.de,,,ScatteredSecrets
ABBEP.org,,,ScatteredSecrets
ABC.net.au,,,ScatteredSecrets
ABCInternational.com.mx,,,ScatteredSecrets
ABCUniversidades.com,,,ScatteredSecrets
ABD.org.in,,,ScatteredSecrets
ABFRL.com,,,ScatteredSecrets
ABSURDO.eu,,,ScatteredSecrets
ABVVMechelenKempen.be,,,ScatteredSecrets
ACAO.org.ma,,,ScatteredSecrets
ACCE-Online.com,,,ScatteredSecrets
ACCETEL.es,,,ScatteredSecrets
ACCLimited.com,,,ScatteredSecrets
ACDC-videos.com,,,ScatteredSecrets
ACEonline.co.uk,,,ScatteredSecrets
ACICLACampina.com.br,,,ScatteredSecrets
ACLumezzane.it,,,ScatteredSecrets
ACMA.in,,,ScatteredSecrets
ACMAR.com.ar,,,ScatteredSecrets
ACOMAX.com.br,,,ScatteredSecrets
ACParadise.com,,,ScatteredSecrets
ACQgroup.com,,,ScatteredSecrets
ACRLMetrics.com,,,ScatteredSecrets
ACTC.org.br,,,ScatteredSecrets
