"BreachName","Data"
"04510sagasu.com.38-211.execute.jp","Email, Password"
"153weather.com","Email, Password"
"1tur.ru","Email, Hash"
"212booter","Email, Hash, Username"
"35map.com","Email, Password"
"360gears.com","Email, Hash"
"3dsiso.com","Email, Hash, IP1, Salt, Username"
"4uck.org","Email, Hash, Salt, Username"
"51cto.com","Email, Hash, Username"
"81.22.247.142","Email, Hash"
"8ch.net(moderators)","Email, Hash, Salt, Username"
"Aimjunkies","Email, IP1, Username"
"ArmyForceMilitaryWarsWarfare","Email, Hash, IP1, Username"
"Arteropk.com","Password, Username"
"Blackhatworld.com","DOB, Email, Hash, IP1, Salt, Username"
"BloodRealmForum.com","DOB, Hash, IP1, Salt, Username"
"CBoard.CProgramming.com","Email, Hash, IP1, Username"
"CandyPvP","Email, Hash, Username"
"Cencus","Address, DOB, First, Phone"
"Controlbooter","Email, Hash, Username"
"Craftsforum.co.uk","DOB, Email, Hash, IP1, Salt, Username"
"Eshet.net","Email, First, Hash"
"ExplosiveGaming.com","Email, First, Hash, Username"
"FiestaFan.com","DOB, Email, Hash, IP1, Salt, Username"
"Freescience.info","Email, Hash"
"HLTV.org","Email, First, Hash, Username"
"Hackyard.net(Blog)","Email, Hash, Username"
"Hawkingtech.com","Email, Hash, Username"
"L33tHacking.net","DOB, Email, Hash, IP1, IP2, Salt, Username"
"Mihahome.de","Email, First, Hash, IP1, Username"
"PassiveNation.com","DOB, Email, Hash, Salt, Username"
"Plutonia.fr","Email, Hash, Username"
"Secretentourage.com","DOB, Email, Hash, IP1, Salt, Username"
"Swebits","Email, Password, Username"
"Team-Xecuter.com","DOB, Email, Hash, IP1, Salt, Username"
"TotalWar.com","DOB, Email, Hash, IP1, Salt, Username"
"Tumblr.com","Email, Hash"
"UserPass(Random)","Password, Username"
"Warframe.com","DOB, Email, Hash, IP1, Salt, Username"
"Ziotic","Email, Hash, Username"
"Aamv.net","Email, Hash"
"Aarohi.org","Email, Hash"
"Abcstitch-therapy.com","Email, Hash"
"Acampapr.com","Email, Password"
"Accountgear.com","Email, Password"
"Acehfh","IP1, Username"
"Acptsc.net","Email, Hash"
"Adclickerads.com","Email, Password"
"Admissionads.pk","Email, Password"
"Africanaffair.net","Email, Password"
"Agency.lacosta.ru","Email, Password"
"Agnusdeiloja.com.br","Email, Password"
"Ahlulbait.org","Email, Password"
"Al-kowneyn.com","Email, Password"
"Alaska","Address, DOB, First, Last, Phone"
"Allaroundproducts.com","Email, Hash"
"Alleghanyjournal.com","Email, Password"
"Almipraha.cz","Email, Password"
"Aluportal.com","Email, Hash"
"Amaluxuryshower.it","Email, Hash"
"Amateurtheatredatabase.com","Email, Password"
"Amphasisdesign.com","Email, Hash"
"Androprovince.cf","DOB, Email, Hash, IP1, IP2, Salt, Username"
"Anglocourse.com","Email, Password"
"Annlanders.com","Email, Password"
"Antonovclima.com","Email, Hash"
"Ape-raccorderie.com","Email, Hash"
"Apexbooter.com","Email, Hash, Username"
"Apothekerkammer-nds.de","Email, Hash"
"App.hytexts.com","Email, Hash"
"App.misaplicaciones.com","Email, Hash"
"Applied.world-psychotherapy.com","Email, Hash"
"Apprentissage.artisan-comtois.com","Email, Password"
"Apsche.org","Email, Hash"
"Aptekajakmarzenie.pl","Email, Hash, Salt"
"Arameo.de","Email, Hash"
"Araxite","Email, Username"
"Archives.cinessonne.com","Email, Hash"
"Ardore.annunci-gratuiti.it","Email, Password"
"Arenabg","Email, Hash, IP1, Salt, Username"
"Arkitectum.com","Email, Hash"
"Armor-vacances.com","Email, Hash"
"Aromaparadise.lt","Address, DOB, Email, First, Hash, Last, Password, Username"
"Artbbs.biz","Email, Hash, IP1, Username"
"Arteutile.net","Email, Password"
"Arthritis-cats-dogs.com","Email, Password"
"Askmefast.com","Email, Password"
"Asociatiabrokerilor.ro","Email, Hash"
"Asoviva.jp","Email, Password"
"Asterios.ru","Email, Hash, IP1, Username"
"Attorneyjobsinusa.com","Email, Password"
"Auction5.mineral-auctions.com","Email, Password"
"Augsburg-schwarz.de","Email, Hash"
"Austin.com.tw","Email, Password"
"Australia","Address, Email, First, Last, Phone"
"Avangardrealt.ru","Email, Hash"
"Avanqard.net","Email, Hash"
"Aves.be","Email, Hash"
"Avilia.de","Email, Hash"
"Avtomatpro.ru","Email, Password"
"Backtovinyls.fr","Email, Hash"
"Bahrainpropertyworld.com","Email, Hash"
"Balkanesports.com","Email, Hash, Salt, Username"
"Balletto.net","Email, Password"
"Balticbookings.com","Email, Hash"
"Bananecoco.com","Email, Password"
"Banluegroup.com","Email, Password"
"Battlefy.com","Email, Hash, Username"
"Bdsmfap.com","Email, Hash, Salt, Username"
"Bdsouth.co.uk","Email, Password"
"Bdsouthwest.co.uk","Email, Password"
"Be.mobminder.com","Email, Password"
"Beautysecrets.co.za","Email, Password"
"Becshop.net","Email, Password"
"Beeldenstorm.org","Email, Hash"
"Bel12volt.ru","Email, Password"
"Bells.be","Email, Hash"
"Belozerskoe.ukrmisto.net","Email, Hash"
"Bemyva.com","Email, Hash"
"Berserk.es","Email, Hash"
"Bestcharitiesnca.org","Email, Hash"
"Bestjobs4all.com","Email, Password"
"Bestkolkata.com","Email, Hash"
"Bgben.co.uk","Email, Password"
"Bgpochivka.eu","Email, Hash"
"Bibmaster.com","Email, Hash"
"Big-ce.pf","Email, Password"
"Bigbonuses.com","Email, Password"
"Billbarter.com","Email, Hash"
"Billion7.co","Email, Hash"
"Binweevils.com","Hash, Username"
"Birdsofeurope.eu","Email, Hash"
"Bitcointalk.org","DOB, Email, First, Hash, IP1, IP2, Salt, Username"
"Bitcointrading.com","Email, Password"
"Bitgamer.com","DOB, Email, Hash, IP1, Salt, Username"
"Bitleak.net","Email, Hash, IP1, IP2, Password, Salt, Username"
"Bladehotel","Email, Hash, IP1, Username"
"Blazingvps.com","Address, Email, First, Hash, IP1, Last, Salt"
"Blu-rayiso.com","Email, Hash, IP1, Salt, Username"
"Bluebooktrader.com","Email, Hash"
"Blueribbon-toys.com","Email, Hash"
"Bluesnap.com(payments)","Address, Email, First, Last, Phone"
"Board.uscho.com","Email, Hash, Salt, Username"
"Board4all.biz","Email, Hash, Salt, Username"
"Bobbibrowncosmetics.com.tw","Email, Password"
"Bodyfitthailand.com","Email, Password"
"Bolliger-company.com","Email, Hash"
"Bomdiggy.com","Email, Hash"
