"Website","LineCount","HashType","Category"
"0-de-franchise.ca","6.584","HASH+NOHASH","NoCategory"
"0-deductible-offer.ca","6.992","HASH+NOHASH","NoCategory"
"0-o.ca","14.159","NOHASH","NoCategory"
"007.no","3.414","HASH+NOHASH","Games"
"008.vista.kz","3.896","HASH","Business"
"01186mb.ca","11.730","NOHASH","Blogs"
"012.ca","13.304","NOHASH","Business"
"0286776498.com","1.209","HASH+NOHASH","NoCategory"
"02asat.photoherald.com","46.001","HASH+NOHASH","Business"
"02grow.ca","1.701","HASH+NOHASH","NoCategory"
"039.ca","11.517","HASH+NOHASH","NoCategory"
"03designscommunications.ca","2.044","NOHASH","NoCategory"
"0420.ca","5.076","NOHASH","NoCategory"
"056.ca","5.152","HASH+NOHASH","NoCategory"
"059.ca","7.587","HASH+NOHASH","NoCategory"
"05atues.photoherald.com","22.338","HASH+NOHASH","Business"
"062.ca","10.254","HASH+NOHASH","NoCategory"
"063305500.lifeshow.com.tw","3.324","NOHASH","Social"
"0755lounge.ca","4.897","HASH+NOHASH","Business"
"07zr.ca","13.241","HASH+NOHASH","NoCategory"
"10-ten.com","9.931","NOHASH","Shopping"
"1000cv.it","2.630","HASH+NOHASH","NoCategory"
"1001-autoentrepreneurs.com","54.745","NOHASH","Travel"
"1001moteurs.com","59.238","HASH+NOHASH","Auto"
"1005.idv.hk","1.305","NOHASH","Reference"
"100win.pe.kr","1.060","HASH","Education"
"101qs.com","38.303","HASH+NOHASH","Boards"
"101sportsgroup.ca","3.245","HASH+NOHASH","Sports"
"103.219.124.238","4.708","HASH+NOHASH","NoCategory"
"103.247.238.81","4.663","NOHASH","Medicine"
"10kadum.com","1.278","NOHASH","NoCategory"
"10nej.cz","3.929","HASH","Search Engines and Portals"
"112-delft.nl","11.663","HASH+NOHASH","Business"
"115.111.0.151","7.580","HASH+NOHASH","NoCategory"
"117.20.102.124","4.908","NOHASH","NoCategory"
"11manager.com","14.561","HASH+NOHASH","Games"
"11net.com.tw","1.630","NOHASH","Business"
"1219flower.com","2.396","NOHASH","Shopping"
"123-finder.de","47.526","NOHASH","Search Engines and Portals"
"123.242.165.136","1.832","HASH+NOHASH","NoCategory"
"123achei.com.br","34.711","HASH+NOHASH","Business"
"123metra.ru","7.102","HASH+NOHASH","Business"
"123php.de","13.298","HASH+NOHASH","IT"
"125.20.160.197","36.669","NOHASH","Web Hosting"
"128bit.se","7.359","HASH+NOHASH","IT"
"138.201.129.238","11.327","HASH+NOHASH","NoCategory"
"13keruleti-hirhatar.hu","1.519","HASH","NoCategory"
"149.202.158.241","808","NOHASH","NoCategory"
"150.242.15.35","34.749","HASH+NOHASH","NoCategory"
"166.70.162.82","11.592","NOHASH","Content Servers"
"1800color.com","48.232","HASH+NOHASH","Shopping"
