dump_name,breach_date,record_count,info,source
2paclegacyboard.net,N/A,1061,N/A,dehashed
3djobs.com,N/A,636,N/A,dehashed
alkheeer.com,N/A,9,N/A,dehashed
arabalsahel.com,N/A,3,N/A,dehashed
barmanclub.ir,N/A,55,N/A,dehashed
bimeplus.com,N/A,36,N/A,dehashed
ctfastpitch.net,N/A,4,N/A,dehashed
fishinglakehartwell.com,N/A,26,N/A,dehashed
fixscoliosis.com,N/A,24,N/A,dehashed
forum.nanima.co.za,N/A,6,N/A,dehashed
g-shockzone.com,N/A,7,N/A,dehashed
abandonware-forums.org,N/A,23182,N/A,dehashed
adelgazarcomo.com,N/A,378,N/A,dehashed
adkhighpeaks.com,N/A,6399,N/A,dehashed
adwdiabetes.com,N/A,962,N/A,dehashed
agrarmodellbau.de,N/A,6813,N/A,dehashed
aktienboard.com,N/A,116576,N/A,dehashed
algeria.com,N/A,3682,N/A,dehashed
almotrjem.com,N/A,2,N/A,dehashed
arbeitsrecht.de,N/A,23776,N/A,dehashed
archery-forum.org,N/A,10828,N/A,dehashed
astroforum.nl,N/A,9347,N/A,dehashed
atpforum.eu,N/A,12515,N/A,dehashed
aviacionargentina.net,N/A,12044,N/A,dehashed
aviafora.com,N/A,493,N/A,dehashed
azfragclub.com,N/A,278,N/A,dehashed
badkittygames.net,N/A,162,N/A,dehashed
bakerro.com,N/A,8895,N/A,dehashed
bbmcsa.com,N/A,98,N/A,dehashed
bearcatnews.com,N/A,1213,N/A,dehashed
bearhawkforums.com,N/A,1573,N/A,dehashed
bench-racer.com,N/A,136,N/A,dehashed
bikeratheart.com,N/A,105,N/A,dehashed
bitkiseltedavi.net,N/A,15466,N/A,dehashed
bladderandbowelforum.com,N/A,263,N/A,dehashed
bluemountainmotorcycleclub.com,N/A,989,N/A,dehashed
bmw-forum.de,N/A,10299,N/A,dehashed
board.volnugs.com,N/A,411,N/A,dehashed
buffaloairwaysvirtual.com,N/A,173,N/A,dehashed
