dump_name,record_count,index_date,source
astropid.com,5789,2017-02-20,leaklookup
lexpublib.org,0,2017-02-20,leaklookup
dropbox.com,68680753,2017-02-20,leaklookup
snapchat.com,4609622,2017-02-20,leaklookup
vk.com,100562172,2017-02-20,leaklookup
insk.ru,3967,2017-02-20,leaklookup
linkedin.com,250778227,2017-02-20,leaklookup
baltimorejewishlife.com,0,2017-02-20,leaklookup
vbulletin.com,518495,2017-02-20,leaklookup
neofriends.com,7945,2017-02-20,leaklookup
adobe.com,152946574,2017-02-20,leaklookup
sexsuche.com,2261,2017-02-20,leaklookup
pcfone.info,905,2017-02-20,leaklookup
fftoday.com,307172,2017-02-20,leaklookup
imesh.com,51310960,2017-02-20,leaklookup
ozsports.info,0,2017-02-20,leaklookup
pharmadiscount24.com,21479,2017-02-20,leaklookup
twitter.com,281238587,2017-02-20,leaklookup
fdreview.com,1632,2017-02-20,leaklookup
glass.org,7392,2017-02-20,leaklookup
cardingmafia.ws,177940,2017-02-20,leaklookup
myspace.com,360212437,2017-02-20,leaklookup
ir-tci.org,1254069,2017-02-20,leaklookup
comicbookdb.com,52734,2017-02-20,leaklookup
seemnemaailm.ee,0,2017-02-20,leaklookup
cardingplanet.biz,396,2017-02-20,leaklookup
eroticy.com,1598013,2017-02-20,leaklookup
gmail.com,61575571,2017-02-20,leaklookup
mail.ru,11548452,2017-02-20,leaklookup
bitshacking.com,41348,2017-02-20,leaklookup
the-athenaeum.com,0,2017-02-20,leaklookup
hotelworkersrising.org,224,2017-02-20,leaklookup
carlsonrezidor.com,0,2017-02-20,leaklookup
oscrap.com,0,2017-02-20,leaklookup
ichatlatino.com,0,2017-02-20,leaklookup
habbo.st,901657,2017-02-20,leaklookup
asuslaptop.net,4065,2017-02-20,leaklookup
plex.tv,328833,2017-02-20,leaklookup
wowfon.com,5401,2017-02-20,leaklookup
aeromorning.com,960,2017-02-20,leaklookup
paylineshop.com,20,2017-02-20,leaklookup
agentofchange.net,0,2017-02-20,leaklookup
yandex.com,1261810,2017-02-20,leaklookup
nute.ufsc.br,43081,2017-02-20,leaklookup
battlefieldheroes.com,548774,2017-02-20,leaklookup
altisrp.fr,31155,2017-02-20,leaklookup
ichatasia.com,9798,2017-02-20,leaklookup
lotro.com,1358359,2017-02-20,leaklookup
buxoverflow.com,11887,2017-02-20,leaklookup
