Database Name,Database DL Link,Database URL Source,Captcha,Direct
[Ezine] b1gh4x,http://siph0n.net/exploits.php?id=4703,http://siph0n.net/leaks.php?page=3,,
[http://chm.moew.government.bg] + SQLi,http://siph0n.net/exploits.php?id=1029,http://siph0n.net/leaks.php?page=15,,
[http://www.fiestacrafts.co.uk] + SQLi,http://siph0n.net/exploits.php?id=1290,http://siph0n.net/leaks.php?page=13,,
[http://www.neaa.government.bg] + SQLi,http://siph0n.net/exploits.php?id=1030,http://siph0n.net/leaks.php?page=15,,
#1 SEO + LInkbuilders pwned,http://siph0n.net/exploits.php?id=1154,http://siph0n.net/leaks.php?page=14,,
#Leaked & Dump nike.com,http://siph0n.net/exploits.php?id=979,http://siph0n.net/leaks.php?page=16,,
#Leaked &amp; Dump http://valuejockey.com,http://siph0n.net/exploits.php?id=977,http://siph0n.net/leaks.php?page=16,,
+300 Uber Accounts,http://siph0n.net/exploits.php?id=4518,http://siph0n.net/leaks.php?page=5,,
100+ Cock.li Logins,http://siph0n.net/exploits.php?id=4463,http://siph0n.net/leaks.php?page=5,,
10GB - Syrian Government Leak,http://siph0n.net/exploits.php?id=4631,http://siph0n.net/leaks.php?page=4,,
39K www.epilepsymichigan.org personal info,http://siph0n.net/exploits.php?id=4797,http://siph0n.net/leaks.php?page=2,,
5798 Email Here are the list of User ID and Pass,http://siph0n.net/exploits.php?id=1108,http://siph0n.net/leaks.php?page=14,,
6717000.com Database Leak,http://siph0n.net/exploits.php?id=972,http://siph0n.net/leaks.php?page=16,,
7.6k perchCMS hashes,http://siph0n.net/exploits.php?id=4369,http://siph0n.net/leaks.php?page=6,,
Aadi Infotech CMS - SQL Injection,http://siph0n.net/exploits.php?id=3898,http://siph0n.net/leaks.php?page=10,,
"accg.tv, mercurymotors.net + 3 #CatCorp @KittyGods",http://siph0n.net/exploits.php?id=7857,http://siph0n.net/leaks.php,,
Acparadise.com_2016_55k_phpbb.csv,http://siph0n.net/exploits.php?id=4809,http://siph0n.net/leaks.php?page=2,,
allaboutthegames.co.uk,http://siph0n.net/exploits.php?id=4685,http://siph0n.net/leaks.php?page=3,,
anglia.ac.uk shadow + passwd file,http://siph0n.net/exploits.php?id=4825,http://siph0n.net/leaks.php?page=2,,
Aol Hacked,http://siph0n.net/exploits.php?id=1140,http://siph0n.net/leaks.php?page=14,,
asaigo.org.ar,http://siph0n.net/exploits.php?id=1080,http://siph0n.net/leaks.php?page=14,,
asihp.net,http://siph0n.net/exploits.php?id=1144,http://siph0n.net/leaks.php?page=14,,
Asus UK 2016 Database,http://siph0n.net/exploits.php?id=4484,http://siph0n.net/leaks.php?page=5,,
audio-express.co.uk #EMAILS @KittyGods,http://siph0n.net/exploits.php?id=7855,http://siph0n.net/leaks.php,,
awebux.com + SQLi,http://siph0n.net/exploits.php?id=1034,http://siph0n.net/leaks.php?page=15,,
Bangladesh Police Database leaked,http://siph0n.net/exploits.php?id=4687,http://siph0n.net/leaks.php?page=3,,
Besa Mafia 2,http://siph0n.net/exploits.php?id=4779,http://siph0n.net/leaks.php?page=2,,
Big Shop Leak,http://siph0n.net/exploits.php?id=1340,http://siph0n.net/leaks.php?page=13,,
biotechcenters.com,http://siph0n.net/exploits.php?id=1072,http://siph0n.net/leaks.php?page=14,,
Booter/Stresser DB bundle,http://siph0n.net/exploits.php?id=4440,http://siph0n.net/leaks.php?page=6,,
Boutique off Broadway | +1k accounts dump by XVII,http://siph0n.net/exploits.php?id=1284,http://siph0n.net/leaks.php?page=13,,
BSNL.in Hacked,http://siph0n.net/exploits.php?id=1304,http://siph0n.net/leaks.php?page=13,,
business.toshiba.com #AnonSec,http://siph0n.net/exploits.php?id=1824,http://siph0n.net/leaks.php?page=13,,
BuzzMachines.com 40k+,http://siph0n.net/exploits.php?id=4560,http://siph0n.net/leaks.php?page=4,,
bwcrank.com @NullSploit,http://siph0n.net/exploits.php?id=4742,http://siph0n.net/leaks.php?page=3,,
casadelacultura.gob.ec,http://siph0n.net/exploits.php?id=4969,http://siph0n.net/leaks.php,,
catalogobiblioteca.agro.uba.ar,http://siph0n.net/exploits.php?id=1081,http://siph0n.net/leaks.php?page=14,,
chicagoriders.us dump,http://siph0n.net/exploits.php?id=4803,http://siph0n.net/leaks.php?page=2,,
chm.moew.government.bg sqli+leak,http://siph0n.net/exploits.php?id=985,http://siph0n.net/leaks.php?page=16,,
Cocoa Board Ghana,http://siph0n.net/exploits.php?id=1312,http://siph0n.net/leaks.php?page=13,,
Contribution to siph0n - 186k Lines,http://siph0n.net/exploits.php?id=1036,http://siph0n.net/leaks.php?page=15,,
Contribution to siph0n - 186k Lines,http://siph0n.net/exploits.php?id=1036,http://siph0n.net/leaks.php?page=15,,
cs.union.edu #minidump @KittyGods #CatCorp,http://siph0n.net/exploits.php?id=7863,http://siph0n.net/leaks.php,,
ct.gov (@HostileSec),http://siph0n.net/exploits.php?id=4938,http://siph0n.net/leaks.php,,
customs.gov.ye,http://siph0n.net/exploits.php?id=1074,http://siph0n.net/leaks.php?page=14,,
cxc.harvard.edu,http://siph0n.net/exploits.php?id=4926,http://siph0n.net/leaks.php,,
Dark Army Zine 2 (@D4rkArmy),http://siph0n.net/exploits.php?id=4917,http://siph0n.net/leaks.php,,
Databases for sale! by @sudosensitive,http://siph0n.net/exploits.php?id=4385,http://siph0n.net/leaks.php?page=6,,
Deface vumafm.co.za,http://siph0n.net/exploits.php?id=1175,http://siph0n.net/leaks.php?page=14,,
DHS - 9380 leaked records.,http://siph0n.net/exploits.php?id=4470,http://siph0n.net/leaks.php?page=5,,
digitimes.com,http://siph0n.net/exploits.php?id=1199,http://siph0n.net/leaks.php?page=13,,
